,Brand,Total Score,CPU,GPU,Memory,UX,Type,Display Size,Pixels_X,Pixels_Y,PPI,Refresh rate,Adaptive refresh rate,Max rated brightness,HDR support,Touch sampling rate,Display features,Height (mm),Width (mm),Thickness (mm),Weight (gr),Waterproof,Rear material,Frame material,Fingerprint scanner,L3 cache (mb),Manufacturing,Lithography process (nm),Neural processor (NPU),Total score,RAM size (GB),Memory type,Memory clock,Channels,Storage size (GB),Storage type,Memory card,OS suppoert (years),Battery capacity (mAh),Max charge power,Battery type,Battery replaceability,Wireless charging,Reverse charging,Fast charging,Full charging time (min),Web browsing (min),Watching video (min),Gaming (min),Standby (hr),Matrix (megapixels),Zoom,Flash,Stabilization,8K video recording,4K video recording,1080p video recording,Angle of widest lens (°),Camera features,Aperture,Sensor size,Pixel size (micron),Autofocus,Front camera megapixels,Video resolution,Depth sensor (TOF 3D),NFC*,Infrared port,Number of SIM*,Type of SIM card,Multi SIM mode,eSIM support*,Hybrid slot,5G support,Speakers,Headphone audio jack,FM radio,Dolby Atmos,Category,Phone age in days,Launch price ($),Bundled charger,LTE Cat*,Proximity sensor,Gyroscope,Accelerometer,Ambient light sensor,Compass,Fingerprint,Barometer,Hall,effect sensor,Face recognition sensor,Advanced cooling_Active fan,Advanced cooling_Vapor chamber,Advanced cooling_nan
167,Vivo,2077133,439782,888982,417895,330474,AMOLED,6.78,1260,2800,453,144,1,3000.0,1,, - DCI-P3 - Always-On Display - DC Dimming,163.22,75.8,8.1,198.5,IP64,Glass,Metal,"Yes, in-display",12.0,TSMC,4.0,1,2077133,12,LPDDR5X,,4.0,256,UFS 4.0,No,,5000,120.0,Li-Po,No,0,1,1,20.0,522.0,933.0,356.0,98.0,50.0,Optical,Dual LED,No,Up to 30FPS,Up to 60FPS,Up to 60FPS,119.0, - Bokeh mode - Pro mode - RAW support,2.5,3.1,1.0,No,16.0,1080p (Full HD) at 30 FPS,No,Yes,Yes,2,Nano,Standby,No,No,Yes,Stereo,No,No,,Flagship,295,625.0,1,20,1,1,1,1,1,1,0,0,0,0,0,1,0
168,Xiaomi,141956,54580,17708,37174,32494,IPS LCD,6.53,720,1600,269,60,0,400.0,0,,,164.9,77.0,9.0,196.0,No,Plastic,Plastic,"Yes, rear",,TSMC,12.0,0,141956,2,LPDDR4X,,2.0,32,eMMC 5.1,MicroSD,1.0,5000,10.0,Li-Po,No,0,0,0,179.0,,,,,13.0,Digital,LED,Digital,No,No,Up to 30FPS,, - Bokeh mode,2.2,3.1,1.12,No,5.0,1080p (Full HD) at 30 FPS,No,Yes,No,2,Nano,Standby,No,No,No,Mono,Yes,Yes,No,Budget,1451,110.0,0,4,1,0,1,1,0,1,0,0,0,0,0,0,1
169,Infinix,940458,263143,236506,197737,243072,AMOLED,6.78,1080,2436,388,144,0,1300.0,0,360.0, - DCI-P3 - Always-On Display - DC Dimming,164.26,75.43,8.15,194.0,IP54,Plastic,Plastic,"Yes, in-display",4.0,TSMC,4.0,1,940458,8,LPDDR5X,3200.0,4.0,256,UFS 3.1,,,5000,45.0,Li-Po,No,0,1,1,61.0,,,,,108.0,Digital,Quad LED,Digital,No,Up to 60FPS,Up to 60FPS,, - Bokeh mode - Pro mode,2.2,1.67,0.8,No,32.0,1440p at 30 FPS,No,Yes,Yes,2,Nano,Standby,No,No,Yes,Stereo,No,Yes,,Mid-range,143,350.0,1,18,1,1,1,1,1,1,0,0,0,0,0,0,1
170,Samsung,414935,129606,63977,114137,101572,TFT LCD,6.6,1080,2408,400,60,0,500.0,0,,,169.0,80.1,10.2,240.0,IP68,Plastic,Plastic,"Yes, in-button",2.0,TSMC,6.0,1,414935,6,LPDDR4X,2133.0,2.0,128,UFS 2.2,MicroSD,,4050,15.0,Li-Po,Yes,0,0,1,80.0,452.0,703.0,282.0,92.0,50.0,Digital,Dual LED,Digital,No,No,Up to 30FPS,, - ,2.0,2.76,,No,5.0,1080p (Full HD) at 30 FPS,No,Yes,No,2,Nano,Standby,Yes,No,Yes,Mono,Yes,No,Yes,Mid-range,234,379.0,0,20,1,1,1,0,1,0,1,0,0,0,0,0,1
171,Samsung,133467,50498,14768,41217,26478,TFT LCD,6.4,720,1560,268,60,0,450.0,0,,,161.4,76.3,8.0,177.0,No,Plastic,Plastic,"Yes, rear",,Samsung,14.0,1,133467,2,LPDDR3,933.0,1.0,32,eMMC 5.1,MicroSD,2.0,4000,15.0,Li-Ion,No,0,0,1,110.0,,,,,13.0,Digital,LED,No,No,No,Up to 30FPS,115.0, - Bokeh mode - Pro mode,2.0,,,No,8.0,1080p (Full HD) at 30 FPS,No,Yes,No,2,Nano,Standby,No,No,No,Mono,Yes,Yes,Yes,Budget,1574,190.0,0,4,1,1,1,1,0,1,0,0,0,0,0,0,1
172,Realme,243272,88116,23135,68922,63099,IPS LCD,6.74,720,1600,260,90,0,560.0,0,180.0,,167.2,76.7,7.99,186.0,No,Plastic,Plastic,"Yes, in-button",,TSMC,12.0,1,243272,4,LPDDR4X,1866.0,2.0,64,eMMC 5.1,MicroSD,,5000,33.0,Li-Po,No,0,0,1,72.0,,,,,50.0,Digital,LED,Digital,No,No,Up to 30FPS,, - Bokeh mode - Pro mode,2.2,5.0,1.12,No,5.0,720p at 30 FPS,No,Depends on the region,No,2,Nano,Standby,No,No,No,Mono,Yes,No,No,Budget,387,160.0,1,7,1,0,1,0,1,1,0,0,0,0,0,0,1
173,Realme,597402,182827,116089,135192,163294,OLED,6.7,1080,2400,395,120,0,2000.0,1,240.0, - DCI-P3 - Always-On Display - DC Dimming,162.95,75.45,7.87,190.0,IP54,Eco-leather,Plastic,"Yes, in-display",,TSMC,6.0,1,597402,8,LPDDR4X,2133.0,2.0,128,UFS 3.1,MicroSD,,5000,67.0,Li-Po,No,0,0,1,47.0,561.0,778.0,351.0,106.0,50.0,Digital,LED,Digital,No,Up to 30FPS,Up to 60FPS,112.0, - Bokeh mode - Pro mode,2.5,4.0,1.12,No,16.0,1080p (Full HD) at 30 FPS,No,Yes,No,2,Nano,Standby,No,Yes,Yes,Stereo,Yes,No,,Mid-range,174,255.0,1,18,1,1,1,1,1,1,0,0,0,0,0,0,1
174,Huawei,429415,140335,91897,93192,103991,LTPS LCD,6.4,1080,2310,398,60,0,450.0,1,,,159.2,76.3,8.7,183.0,No,Plastic,Plastic,"Yes, in-button",,,7.0,1,429415,6,LPDDR4X,2133.0,2.0,128,UFS 2.1,Nano Memory,,4200,40.0,Li-Po,No,0,0,1,70.0,595.0,867.0,321.0,114.0,48.0,Digital,LED,Digital,No,No,Up to 30FPS,120.0, - Bokeh mode - Pro mode,2.0,3.1,1.0,No,16.0,1080p (Full HD) at 30 FPS,No,Yes,No,2,Nano,Active,No,Yes,No,Mono,Yes,Yes,No,Mid-range,1635,265.0,0,12,1,0,1,1,1,1,0,0,0,0,0,0,1
175,Xiaomi,409507,130946,64159,104996,109406,IPS LCD,6.74,720,1600,260,90,0,600.0,0,,,168.0,78.0,8.09,192.0,No,Plastic,Plastic,"Yes, in-button",2.0,TSMC,6.0,1,409507,4,LPDDR4X,2133.0,2.0,128,UFS 2.2,MicroSD,,5000,18.0,Li-Po,No,0,0,1,129.0,,,,,50.0,Digital,LED,No,No,No,Up to 30FPS,, - Bokeh mode - Pro mode,1.8,,,No,5.0,1080p (Full HD) at 30 FPS,No,,No,2,Nano,Standby,No,No,Yes,Mono,Yes,Yes,No,Budget,265,145.0,1,20,0,0,1,1,1,1,0,0,0,0,0,0,1
176,Honor,429586,134040,69774,102996,122806,AMOLED,6.7,1080,2412,394,90,0,600.0,0,, - DCI-P3,161.05,74.55,6.78,166.0,No,Plastic,Plastic,"Yes, in-button",2.0,TSMC,6.0,1,429586,8,LPDDR4X,2133.0,2.0,256,UFS 2.2,No,,4500,35.0,Li-Po,No,0,0,1,112.0,,,,,108.0,Digital,LED,Digital,No,No,Up to 30FPS,, - Bokeh mode,2.1,,,No,50.0,1080p (Full HD) at 30 FPS,No,Yes,No,2,Nano,Standby,No,No,Yes,Mono,No,No,No,Mid-range,113,329.0,0,18,0,0,1,1,1,1,0,0,0,0,0,0,1
177,Nothing,707480,221883,181582,134320,169695,AMOLED,6.7,1080,2412,394,120,1,700.0,1,240.0, - DCI-P3 - Always-On Display - DC Dimming,161.7,76.3,8.6,190.0,IP54,Plastic,Plastic,"Yes, in-display",4.0,TSMC,4.0,1,707480,8,LPDDR4X,2133.0,2.0,128,UFS 2.2,No,,5000,45.0,Li-Po,No,0,0,1,63.0,692.0,1110.0,386.0,148.0,50.0,Digital,LED,Digital,No,Up to 30FPS,Up to 60FPS,114.0, - Bokeh mode - Pro mode - RAW support,2.2,2.74,0.8,No,32.0,1080p (Full HD) at 60 FPS,No,Yes,No,2,Nano,Standby,No,No,Yes,Stereo,No,No,No,Mid-range,174,329.0,0,20,1,1,1,1,1,1,0,0,0,0,0,1,0
178,Xiaomi,454863,146064,100468,93251,115080,AMOLED,6.57,1080,2400,401,60,0,600.0,1,, - Always-On Display - DC Dimming,163.7,74.8,7.9,192.0,No,Glass,Plastic,"Yes, in-display",,Samsung,7.0,1,454863,6,LPDDR4X,2133.0,2.0,128,UFS 2.1,No,2.0,4160,20.0,Li-Po,No,0,0,1,75.0,531.0,882.0,353.0,92.0,48.0,Digital,Dual LED,Digital,No,Up to 30FPS,Up to 60FPS,120.0, - Bokeh mode - Pro mode,2.5,5.0,1.0,No,16.0,1080p (Full HD) at 30 FPS,No,Yes,Yes,2,Nano,Standby,No,No,Yes,Mono,Yes,Yes,No,Mid-range,1513,315.0,0,20,1,1,1,1,1,1,0,0,0,0,0,0,1
179,Motorola,559333,193551,109871,126145,129766,IPS LCD,6.6,1080,2400,399,120,0,600.0,0,, - DCI-P3,162.83,73.77,9.19,202.0,Yes,Plastic,Plastic,"Yes, in-button",,Samsung,4.0,1,559333,8,LPDDR4X,2133.0,2.0,256,UFS 2.2,MicroSD,,5000,20.0,Li-Po,No,0,0,1,90.0,,,,,50.0,Digital,LED,Digital,No,Up to 30FPS,Up to 60FPS,, - Bokeh mode - Pro mode,2.5,4.0,1.12,No,16.0,1080p (Full HD) at 30 FPS,No,Yes,No,1,Nano,,No,No,Yes,Stereo,Yes,No,Yes,Mid-range,448,399.0,1,18,1,1,1,1,1,1,0,0,0,0,0,0,1
180,Infinix,270545,90479,41484,67690,70892,IPS LCD,6.78,1080,2460,396,90,0,500.0,0,, - DCI-P3,168.6,76.6,8.3,196.0,,Plastic,Plastic,"Yes, in-button",,TSMC,12.0,1,270545,8,LPDDR4X,1800.0,2.0,128,eMMC 5.1,MicroSD,,5000,33.0,,No,0,1,1,97.0,,,,,50.0,Digital,Quad LED,No,No,No,Up to 30FPS,, - Bokeh mode - Pro mode,2.2,,,No,32.0,1080p (Full HD) at 30 FPS,No,Yes,No,2,Nano,Standby,No,No,No,Stereo,Yes,Yes,No,Budget,265,110.0,1,7,1,1,1,0,1,1,0,0,0,0,0,0,1
181,Samsung,737495,208809,204264,140912,183510,Dynamic AMOLED,7.6,1768,2208,373,120,1,700.0,1,, - DCI-P3 - Always-On Display,159.2,128.2,6.9,279.0,No,Glass,Metal,"Yes, in-button",4.0,TSMC,7.0,1,737495,12,LPDDR5,2750.0,4.0,256,UFS 3.1,No,2.0,4500,25.0,Li-Po,No,1,1,1,115.0,368.0,589.0,261.0,91.0,12.0,Optical,Dual LED,Digital,No,Up to 60FPS,Up to 60FPS,123.0, - Bokeh mode - Pro mode - RAW support,2.2,3.2,1.22,Phase autofocus,10.0,2160p (4K) at 30 FPS,No,Yes,No,1,Nano,Standby,Yes,No,Yes,Stereo,No,No,Yes,Flagship,1451,2000.0,0,20,1,1,1,1,1,1,1,1,1,0,0,0,1
182,Samsung,1615704,407197,585008,335856,287643,Dynamic AMOLED,6.7,1440,3120,513,120,1,2600.0,1,, - DCI-P3 - Always-On Display,158.5,75.9,7.7,196.0,IP68,Glass,Metal,"Yes, in-display",12.0,TSMC,4.0,1,1615704,12,LPDDR5X,4266.0,4.0,256,UFS 4.0,No,,4900,45.0,Li-Ion,No,1,1,1,58.0,483.0,935.0,308.0,109.0,50.0,Digital,LED,Digital,Up to 30FPS,Up to 60FPS,Up to 60FPS,120.0, - Bokeh mode - Pro mode - RAW support,2.2,3.2,1.12,Phase autofocus,12.0,2160p (4K) at 60 FPS,No,Yes,No,1,Nano,,Yes,No,Yes,Stereo,No,No,Yes,Flagship,234,999.0,0,20,1,1,1,1,1,1,1,1,1,0,0,1,0
183,Google,901385,270120,281241,140631,209393,OLED,6.1,1080,2400,429,90,0,700.0,1,, - DCI-P3 - Always-On Display,152.0,72.9,9.0,193.5,IP67,Plastic,Metal,"Yes, in-display",4.0,Samsung,5.0,1,901385,8,LPDDR5,3200.0,4.0,128,UFS 3.1,No,1.0,4385,18.0,Li-Po,No,1,0,1,117.0,504.0,820.0,306.0,76.0,64.0,Digital,Dual LED,Digital,No,Up to 60FPS,Up to 60FPS,120.0, - Bokeh mode - Pro mode - RAW support,2.2,3.06,1.12,Phase autofocus (Dual Pixel),13.0,2160p (4K) at 30 FPS,No,Yes,No,1,Nano,,Yes,No,Yes,Stereo,No,No,Yes,Mid-range,479,499.0,0,20,1,1,1,1,1,1,1,0,0,0,0,0,1
184,OnePlus,751799,242521,196618,140544,172176,AMOLED,6.55,1080,2400,402,90,0,1300.0,1,, - DCI-P3 - Always-On Display - DC Dimming,160.2,72.9,8.5,180.0,No,Glass,Metal,"Yes, in-display",4.0,TSMC,7.0,1,751799,8,LPDDR4X,1866.0,2.0,128,UFS 3.0,No,3.0,4300,30.0,Li-Po,No,0,0,1,52.0,551.0,792.0,292.0,93.0,48.0,Digital,Dual LED,Digital,No,Up to 60FPS,Up to 240FPS,120.0, - Bokeh mode - Pro mode - RAW support,2.0,3.0,1.0,Phase autofocus,16.0,1080p (Full HD) at 30 FPS,No,Yes,No,2,Nano,Standby,No,No,Yes,Stereo,No,No,Yes,Flagship,1604,699.0,0,20,1,1,1,1,1,1,0,0,0,0,0,0,1
185,Motorola,1302183,340105,482159,225387,254532,OLED,6.67,1080,2400,394,144,0,600.0,1,360.0, - DCI-P3 - Always-On Display - DC Dimming,161.76,73.5,8.39,198.5,IP52,Glass,Metal,"Yes, in-display",6.0,TSMC,4.0,1,1302183,8,LPDDR5,,4.0,128,UFS 3.1,No,,4610,125.0,Li-Po,No,1,1,1,33.0,496.0,794.0,316.0,100.0,200.0,Optical,Dual LED,Digital,Up to 30FPS,Up to 60FPS,Up to 60FPS,114.0, - Bokeh mode - Pro mode - RAW support,2.2,2.8,0.61,No,60.0,2160p (4K) at 30 FPS,No,Yes,No,2,Nano,Standby,No,No,Yes,Stereo,No,No,Yes,Flagship,721,900.0,1,20,1,1,1,1,1,1,0,0,0,0,0,1,0
186,Huawei,774064,261761,190982,160994,160327,OLED,6.82,1260,2720,440,120,1,750.0,1,300.0, - DCI-P3 - Always-On Display - DC Dimming,163.65,79.0,8.1,225.0,IP68,Glass,Metal,"Yes, in-display",,SMIC,7.0,1,774064,12,LPDDR5,3200.0,4.0,256,UFS 4.0,Nano Memory,,5000,88.0,Li-Po,No,1,1,1,31.0,,,,,50.0,Optical,Dual LED,Digital,No,Up to 60FPS,Up to 60FPS,120.0, - Bokeh mode - Pro mode - RAW support,2.4,0.0,1.6,No,13.0,2160p (4K) at 60 FPS,Yes,Yes,Yes,2,Nano,Standby,No,Yes,Yes,Stereo,No,No,No,Flagship,387,900.0,1,20,1,1,1,1,1,1,0,0,0,1,0,1,0
187,Realme,677094,214687,120996,185996,155415,OLED,6.7,1080,2412,394,120,1,2000.0,0,240.0, - DCI-P3 - Always-On Display - DC Dimming,161.34,73.91,8.23,188.0,IP65,Glass,Plastic,"Yes, in-display",,Samsung,4.0,1,677094,8,LPDDR4X,2133.0,2.0,128,UFS 3.1,No,,5200,45.0,Li-Po,No,0,0,1,,,,,,50.0,Digital,LED,Digital,No,Up to 30FPS,Up to 60FPS,112.0, - Bokeh mode - Pro mode,2.5,4.0,1.12,No,32.0,1080p (Full HD) at 30 FPS,No,Depends on the region,No,2,Nano,Standby,No,No,Yes,Stereo,No,No,,Mid-range,21,300.0,1,20,1,1,1,1,1,1,0,0,0,0,0,1,0
188,Nothing,1181365,306019,434901,225819,214626,AMOLED,6.7,1080,2412,394,120,1,600.0,1,360.0, - DCI-P3 - Always-On Display - DC Dimming,162.1,76.4,8.6,201.2,IP54,Glass,Metal,"Yes, in-display",6.0,TSMC,4.0,1,1181365,8,LPDDR5,3200.0,4.0,128,UFS 3.1,No,1.0,4700,45.0,Li-Po,No,1,1,1,64.0,612.0,997.0,367.0,91.0,50.0,Digital,LED,Digital,No,Up to 60FPS,Up to 60FPS,114.0, - Bokeh mode - Pro mode,2.5,2.74,0.8,No,32.0,1080p (Full HD) at 30 FPS,No,Yes,No,2,Nano,Standby,No,No,Yes,Stereo,No,No,No,Flagship,418,599.0,0,20,1,1,1,1,1,1,0,0,0,0,0,1,0
189,Vivo,851130,267119,265108,156022,162881,AMOLED,6.78,1260,2800,453,120,1,4500.0,1,300.0, - DCI-P3 - Always-On Display - DC Dimming,164.16,74.93,7.58,190.0,IP68,Glass,Plastic,"Yes, in-display",4.0,TSMC,4.0,1,851130,8,LPDDR4X,2133.0,2.0,256,UFS 2.2,No,,5500,80.0,Li-Po,No,0,1,1,48.0,,,,,50.0,Digital,Dual LED,Digital,No,Up to 30FPS,Up to 60FPS,119.0, - Bokeh mode - Pro mode,2.0,2.76,0.64,No,50.0,2160p (4K) at 30 FPS,No,Yes,No,2,Nano,Standby,Yes,No,Yes,,No,No,No,Mid-range,52,599.0,1,18,1,1,1,1,1,1,0,0,0,0,0,0,1
190,OnePlus,362813,118157,70569,79309,94778,IPS LCD,6.49,1080,2400,405,90,0,450.0,0,,,163.0,74.7,9.0,190.0,No,Plastic,Plastic,"Yes, rear",,Samsung,8.0,1,362813,6,LPDDR4X,1866.0,2.0,128,UFS 2.1,MicroSD,,4300,30.0,Li-Po,No,0,0,1,52.0,542.0,798.0,311.0,111.0,64.0,Digital,LED,Digital,No,Up to 30FPS,Up to 60FPS,119.0, - Bokeh mode - Pro mode,2.1,1.72,0.8,No,16.0,1080p (Full HD) at 30 FPS,No,Yes,No,2,Nano,Standby,No,Yes,Yes,Stereo,Yes,No,Yes,Mid-range,1390,395.0,0,18,1,1,1,1,1,1,0,0,0,0,0,0,1
191,Samsung,147439,52120,18126,39276,37917,PLS TFT,6.5,720,1600,270,60,0,450.0,0,,,164.0,75.8,8.9,205.0,No,Plastic,Plastic,"Yes, in-button",,TSMC,12.0,0,147439,3,LPDDR4,1866.0,2.0,32,eMMC 5.1,MicroSD,3.0,5000,15.0,Li-Po,No,0,0,1,183.0,660.0,805.0,363.0,133.0,48.0,Digital,LED,Digital,No,No,Up to 30FPS,123.0, - Bokeh mode - Pro mode,2.0,2.0,0.8,No,8.0,1080p (Full HD) at 30 FPS,No,Yes,No,2,Nano,Standby,No,No,No,Mono,Yes,Yes,Yes,Budget,1360,180.0,0,7,1,0,1,1,0,1,0,0,0,0,0,0,1
192,Xiaomi,122563,44741,17272,31679,28871,IPS LCD,6.53,720,1600,269,60,0,400.0,0,,,164.9,77.0,9.0,194.0,No,Plastic,Plastic,No,,TSMC,12.0,0,122563,2,LPDDR4X,2133.0,2.0,32,eMMC 5.1,MicroSD,1.0,5000,10.0,Li-Po,No,0,0,0,175.0,608.0,817.0,337.0,118.0,13.0,Digital,LED,Digital,No,No,Up to 30FPS,, - ,2.2,,1.12,No,5.0,1080p (Full HD) at 30 FPS,No,No,No,2,Nano,Standby,No,No,No,Mono,Yes,Yes,No,Budget,1482,100.0,0,4,1,0,1,1,0,0,0,0,0,0,0,0,1
193,Oppo,776461,198469,272136,131615,174241,AMOLED,6.55,1080,2400,402,90,0,500.0,1,240.0, - DCI-P3 - Always-On Display,159.9,72.5,8.0,184.0,IPX4,Glass,Metal,"Yes, in-display",4.0,TSMC,7.0,1,776461,12,LPDDR4X,2133.0,4.0,256,UFS 3.1,No,1.0,4500,65.0,Li-Po,No,0,1,1,50.0,,,,,50.0,Digital,Dual LED,Digital,No,Up to 60FPS,Up to 60FPS,123.0, - Bokeh mode - Pro mode - RAW support,2.4,2.8,0.8,No,32.0,1080p (Full HD) at 30 FPS,No,Yes,No,2,Nano,Standby,No,No,Yes,Stereo,No,No,Yes,Flagship,1270,950.0,0,20,1,1,1,1,1,1,0,0,0,0,0,0,1
194,Realme,773824,252935,183436,155736,181717,OLED,6.7,1080,2412,394,120,1,2000.0,0,240.0, - DCI-P3 - Always-On Display - DC Dimming,161.34,73.91,8.23,190.0,IP65,Glass,Plastic,"Yes, in-display",,Samsung,4.0,1,773824,8,LPDDR4X,2133.0,2.0,128,UFS 3.1,No,,5200,80.0,Li-Po,No,0,0,1,47.0,781.0,892.0,340.0,120.0,50.0,Optical,LED,Digital,No,Up to 30FPS,Up to 60FPS,112.0, - Bokeh mode - Pro mode,2.5,2.74,0.8,No,32.0,2160p (4K) at 30 FPS,No,Depends on the region,No,2,Nano,Standby,No,No,Yes,Stereo,No,No,,Mid-range,21,395.0,1,20,1,1,1,1,1,1,0,0,0,0,0,1,0
195,Realme,662355,208243,120794,174635,158683,AMOLED,6.7,1080,2412,394,120,0,950.0,0,240.0, - DCI-P3 - Always-On Display - DC Dimming,161.47,74.02,8.75,196.0,IP65,,,"Yes, in-display",,Samsung,4.0,1,662355,8,LPDDR4X,2133.0,2.0,128,UFS 3.1,No,,5000,67.0,Li-Po,No,0,0,1,43.0,656.0,900.0,328.0,121.0,50.0,Optical,LED,Digital,No,Up to 30FPS,Up to 60FPS,112.0, - Bokeh mode - Pro mode,2.4,4.0,0.8,No,32.0,1080p (Full HD) at 30 FPS,No,Yes,No,2,Nano,Standby,No,No,Yes,Stereo,No,No,Yes,Mid-range,234,360.0,1,18,1,1,1,1,1,1,0,0,0,0,0,1,0
196,Vivo,2022964,489247,842051,348929,342737,AMOLED,6.78,1260,2800,453,120,1,3000.0,1,300.0, - DCI-P3 - Always-On Display - DC Dimming,164.05,75.19,8.49,206.0,IP68,Glass,Metal,"Yes, in-display",18.0,TSMC,4.0,1,2022964,12,LPDDR5X,4200.0,4.0,256,UFS 4.0,No,,5000,120.0,Li-Po,No,0,1,1,21.0,,,,,50.0,Optical,LED,Digital,No,Up to 60FPS,Up to 60FPS,119.0, - Bokeh mode - Pro mode - RAW support,2.0,2.8,0.8,No,32.0,2160p (4K) at 60 FPS,No,Yes,Yes,2,Nano,Standby,No,No,Yes,Stereo,No,No,,Flagship,295,569.0,1,20,1,1,1,1,1,1,0,0,0,0,0,1,0
197,Motorola,454760,154215,84240,102248,114057,POLED,6.5,1080,2400,402,120,1,1300.0,0,240.0, - DCI-P3 - Always-On Display - DC Dimming,160.0,74.4,7.6,168.3,IP54,Plastic,Plastic,"Yes, in-display",,TSMC,6.0,1,454760,12,LPDDR4X,2133.0,2.0,256,UFS 2.2,MicroSD,,5000,30.0,Li-Po,No,0,0,1,75.0,601.0,838.0,309.0,121.0,50.0,Digital,LED,Digital,No,No,Up to 60FPS,120.0, - Bokeh mode - Pro mode,2.5,3.06,1.0,No,16.0,1080p (Full HD) at 30 FPS,No,Depends on the region,No,2,Nano,Standby,No,Yes,Yes,Stereo,Yes,Yes,Yes,Mid-range,356,249.0,1,18,1,1,1,1,1,1,0,0,0,0,0,0,1
198,Honor,248602,89924,34025,59171,65482,IPS LCD,6.59,1080,2340,391,60,0,460.0,0,,,163.5,77.3,8.8,196.8,No,Plastic,Plastic,"Yes, rear",1.0,TSMC,12.0,0,248602,4,LPDDR4X,1866.0,2.0,128,eMMC 5.1,MicroSD,2.0,4000,10.0,Li-Po,No,0,0,0,145.0,449.0,629.0,276.0,98.0,48.0,Digital,LED,Digital,No,No,Up to 60FPS,, - Bokeh mode - Pro mode,2.2,3.0,1.0,No,16.0,1080p (Full HD) at 30 FPS,No,Yes,No,2,Nano,Standby,No,Yes,,Mono,Yes,Yes,No,Mid-range,1817,,0,4,1,1,1,1,1,1,0,0,0,0,0,0,1
199,Xiaomi,241410,87028,34315,62211,57856,IPS LCD,6.53,1080,2340,395,60,0,400.0,0,,,162.3,77.3,9.6,198.0,No,Plastic,Plastic,"Yes, in-button",,Samsung,11.0,1,241410,4,LPDDR4X,1800.0,2.0,64,UFS 2.2,MicroSD,2.0,6000,18.0,Li-Po,No,0,1,1,150.0,717.0,926.0,365.0,175.0,48.0,Digital,LED,Digital,No,No,Up to 30FPS,120.0, - Bokeh mode - Pro mode,2.0,4.0,1.12,No,8.0,1080p (Full HD) at 30 FPS,No,Depends on the region,Yes,2,Nano,Standby,No,No,No,Stereo,Yes,Yes,No,Budget,1329,180.0,0,13,1,0,1,1,1,1,0,0,0,0,0,0,1
200,Huawei,900765,279677,200982,225491,194615,OLED,6.82,1260,2720,440,120,1,600.0,1,300.0, - DCI-P3 - Always-On Display - DC Dimming,163.7,79.0,8.1,225.0,IP68,Glass,Metal,"Yes, in-display",,SMIC,7.0,1,900765,16,LPDDR5,,4.0,512,UFS 4.0,Nano Memory,,5000,88.0,Li-Po,No,1,1,1,31.0,,,,,48.0,Digital,LED,Digital,No,Up to 60FPS,Up to 60FPS,120.0, - Bokeh mode - Pro mode,2.4,,,Phase autofocus,13.0,2160p (4K) at 60 FPS,Yes,Yes,Yes,2,Nano,Standby,No,Yes,Yes,Stereo,No,No,No,Flagship,356,1100.0,1,20,1,1,1,1,1,1,1,0,0,1,0,1,0
201,Samsung,208801,71364,24988,53970,58479,Super AMOLED,6.4,1080,2340,403,60,0,616.0,0,, - Always-On Display,158.5,74.7,7.7,165.0,No,Plastic,Plastic,"Yes, rear",,Samsung,14.0,0,208801,3,LPDDR4X,2133.0,2.0,32,eMMC 5.1,MicroSD,2.0,4000,15.0,Li-Ion,No,0,0,1,110.0,363.0,624.0,267.0,87.0,16.0,Digital,LED,Digital,No,No,Up to 30FPS,123.0, - Pro mode,2.0,3.06,1.0,No,16.0,1080p (Full HD) at 30 FPS,No,Yes,No,2,Nano,Standby,No,No,No,Mono,Yes,Yes,Yes,Mid-range,2001,305.0,0,10,1,1,1,1,1,1,0,1,1,0,0,0,1
202,Xiaomi,266334,86964,36173,68045,75152,IPS LCD,6.79,1080,2460,396,90,0,550.0,0,,,168.6,76.28,8.17,198.5,IP53,Plastic,Plastic,"Yes, in-button",,TSMC,12.0,1,266334,4,LPDDR4X,1800.0,2.0,128,eMMC 5.1,MicroSD,1.0,5000,18.0,Li-Po,No,0,0,1,127.0,478.0,765.0,299.0,118.0,50.0,Digital,LED,Digital,No,No,Up to 30FPS,120.0, - Bokeh mode - Pro mode,2.1,2.8,1.14,No,8.0,1080p (Full HD) at 30 FPS,No,Depends on the region,Yes,2,Nano,Standby,No,Yes,No,Mono,Yes,Yes,No,Budget,448,159.0,0,7,0,0,1,0,1,1,0,0,0,0,0,0,1
203,Realme,294782,99824,40210,80648,74100,IPS LCD,6.6,1080,2412,401,90,0,480.0,0,180.0, - DCI-P3,164.4,75.7,8.4,190.0,No,Plastic,Plastic,"Yes, in-button",,TSMC,6.0,1,294782,4,LPDDR4X,2133.0,2.0,64,UFS 2.1,MicroSD,2.0,5000,33.0,Li-Ion,No,0,0,1,72.0,,,,,50.0,Digital,LED,Digital,No,No,Up to 30FPS,, - Bokeh mode - Pro mode,2.1,3.13,1.0,No,16.0,1080p (Full HD) at 30 FPS,No,Depends on the region,No,2,Nano,Standby,No,No,No,Stereo,Yes,No,Yes,Mid-range,964,230.0,1,20,1,0,1,1,1,1,0,0,0,0,0,0,1
