Brand,Total Score,CPU,GPU,Memory,UX,Type,Display Size,Pixels_X,Pixels_Y,PPI,Refresh rate,Adaptive refresh rate,Max rated brightness,HDR support,Touch sampling rate,Display features,Height (mm),Width (mm),Thickness (mm),Weight (gr),Waterproof,Rear material,Frame material,Fingerprint scanner,L3 cache (mb),Manufacturing,Lithography process (nm),Neural processor (NPU),Total score,RAM size (GB),Memory type,Channels,Storage size (GB),Storage type,Memory card,Battery capacity (mAh),Max charge power,Battery type,Battery replaceability,Wireless charging,Reverse charging,Fast charging,Full charging time (min),Matrix (megapixels),Zoom,Flash,Stabilization,8K video recording,4K video recording,1080p video recording,Aperture,Sensor size,Pixel size (micron),Front camera megapixels,Depth sensor (TOF 3D),NFC*,Infrared port,Number of SIM*,Multi SIM mode,eSIM support*,Hybrid slot,5G support,Headphone audio jack,FM radio,Dolby Atmos,Category,Phone age in days,Launch price category,Video resolution_p,Video resolution_FPS,Bokeh mode,Pro mode,RAW support,Autofocus_Laser autofocus,Autofocus_Phase autofocus,Autofocus_Phase autofocus (Dual Pixel),Speakers_Mono,Speakers_Stereo,Bundled charger,LTE Cat*,Proximity sensor,Gyroscope,Accelerometer,Ambient light sensor,Compass,Fingerprint,Barometer,Hall,effect sensor,Face recognition sensor,Advanced cooling_Active fan,Advanced cooling_Vapor chamber,Advanced cooling_nan
12,838967,268183,253488,153180,164116,0,6.78,1260,2800,453,120,1,2800,1,300,0,164.36,75.1,7.45,186,5,1,0,0,2,0,4,1,838967,8,3,2,128,4,0,5000,80,0,0,0,1,1,42,50,0,2,2,0,1,2,2,2.76,0.64,50,0,2,0,2,0,0,0,1,0,0,0,1,174,1,4,1,1,1,0,0,0,0,1,0,1,18,1,1,1,1,1,1,0,0,0,0,0,0,1
2,1598185,383884,634315,304850,275136,0,8.03,1916,2160,360,120,1,2600,1,240,0,161.2,143.28,5.26,259,3,1,1,1,0,0,4,1,1598185,12,5,4,256,7,0,4800,67,0,0,1,1,1,50,50,1,1,2,1,2,2,2.3,3.4,1.12,20,0,2,1,2,0,0,0,1,0,0,1,2,387,5,2,2,1,1,1,0,0,0,0,1,1,20,1,1,1,1,1,1,1,0,0,0,0,0,1
13,588186,193840,138782,125724,129840,1,6.7,1084,2412,391,120,0,950,1,240,1,161.29,74.96,6.88,168,3,0,0,0,1,0,6,1,588186,8,3,2,128,6,0,4500,66,0,0,0,1,1,32,50,0,1,2,0,1,2,2.4,2.8,0.61,60,0,2,0,2,0,0,0,0,0,0,0,1,509,1,4,1,1,1,0,0,0,0,0,1,1,18,0,1,1,1,1,1,0,0,0,0,0,0,1
2,1546742,413659,537217,315690,280176,1,6.67,1220,2712,446,144,1,600,1,480,0,162.15,75.7,8.49,204,1,1,0,0,0,0,4,1,1546742,12,5,4,256,7,0,5000,120,0,0,0,0,1,19,50,0,2,2,1,2,2,2.2,2,0.8,20,0,2,1,2,0,0,0,1,0,0,1,2,387,1,2,1,1,1,0,0,0,0,0,1,1,20,1,1,1,1,1,1,0,0,0,0,0,1,0
5,454330,165575,137252,71866,79637,3,5.8,1440,2960,568,60,0,658,1,60,4,147.7,68.7,8.5,163,1,1,1,2,1,1,10,1,454330,4,3,2,64,3,1,3000,15,0,0,1,0,1,95,12,0,2,2,0,2,4,1.7,3.6,1.22,8,0,2,0,2,0,0,1,0,1,0,1,2,2366,2,3,1,1,1,0,0,0,1,0,1,0,18,1,1,1,1,1,1,1,0,0,0,0,0,1
5,346841,115364,79042,72048,80387,3,6.6,720,1600,266,60,0,500,0,60,4,164.4,75.9,8.6,193,3,0,0,0,8,1,8,1,346841,4,3,2,128,3,1,5000,15,0,0,0,0,1,121,48,0,1,2,0,1,2,2.2,5,1,20,0,2,0,2,0,0,1,1,1,0,1,1,1390,1,2,1,1,1,0,0,0,0,1,0,0,18,1,1,1,1,1,1,0,0,0,0,0,0,1
15,1623986,406281,611862,317813,288030,0,6.78,1080,2448,395,165,0,1000,1,720,0,173,77,10.3,246,5,1,1,0,0,0,4,1,1623986,16,5,4,512,7,0,6000,65,0,0,0,1,1,62,50,0,1,2,1,2,2,2.5,3.2,0.7,32,0,2,0,2,0,0,0,1,1,0,1,2,448,5,2,1,1,1,0,0,0,0,0,1,1,20,1,1,1,1,1,1,0,0,0,0,0,1,0
11,240915,76042,23427,81392,60054,2,6.6,720,1612,267,90,0,450,0,180,3,163.7,75.6,8.6,180,3,0,0,1,6,0,12,0,240915,3,3,2,64,1,1,5000,10,0,0,0,0,0,195,13,0,2,2,0,0,1,2,3.003953901,0.9680385288966724,8,0,0,0,2,0,0,0,0,1,1,0,0,295,0,2,1,1,0,0,0,0,0,0,1,1,7,0,0,1,0,0,1,0,0,0,0,0,0,1
14,438163,153343,80957,94380,109033,2,6.6,1080,2412,400,120,0,460,0,240,2,164.3,75.6,8.5,195,3,0,0,1,1,0,6,1,438163,6,3,2,128,4,1,5000,33,0,0,0,0,1,75,64,0,1,2,0,0,1,2.1,3.13,1,16,0,1,0,2,0,0,1,1,1,0,0,1,933,1,2,1,1,1,0,0,0,0,1,0,1,18,1,1,1,1,1,1,0,0,0,0,0,0,1
16,270545,90479,41484,67690,70892,2,6.78,1080,2460,396,90,0,550,0,60,3,168.2,75.5,8.1,168.2,3,0,0,1,1,0,12,1,270545,4,3,2,128,1,1,5010,33,0,0,0,0,1,80,50,0,1,2,0,0,1,2,4,1.12,8,0,1,0,2,0,0,0,0,1,0,1,0,143,1,2,1,1,1,0,0,0,0,0,1,1,20,1,0,1,0,1,1,0,0,0,0,0,0,1
2,265196,92739,38248,60628,73581,2,6.53,1080,2340,395,60,0,400,0,60,3,163.3,77,9.1,198,3,0,0,2,6,0,12,1,265196,3,3,2,32,1,1,5020,18,0,0,0,0,1,185,13,0,1,2,0,0,1,2,4,1.12,8,0,2,1,2,0,0,0,0,1,1,0,0,1513,0,2,1,1,1,0,0,0,0,1,0,1,7,1,1,1,1,1,1,0,0,0,0,0,0,1
5,560697,170850,143095,111552,135200,7,6.6,1080,2408,400,120,0,500,0,60,3,168.8,79.9,9.9,235,1,0,0,1,1,0,6,1,560697,6,3,2,128,4,1,4050,25,0,1,0,1,1,60,50,0,2,2,0,1,1,2.2,3.1,0.9680385288966724,13,0,2,0,2,0,0,0,1,1,0,1,1,783,1,2,1,1,1,0,0,0,0,1,0,0,18,1,1,1,1,1,1,1,0,0,0,0,0,1
9,625173,155100,147881,190102,132090,0,6.7,1080,2412,394,120,1,1200,1,240,0,161.4,74.1,7.6,177,6,0,0,0,1,0,4,1,625173,12,3,2,256,6,1,5000,80,0,0,0,1,1,46,50,0,2,2,0,1,2,2,5,1.75,32,0,2,1,2,0,0,0,1,0,0,1,1,82,1,4,1,1,1,0,0,1,0,0,1,1,20,1,1,1,1,1,1,0,0,0,0,0,1,0
6,356931,129362,69264,74754,83551,8,6.49,1080,2400,406,90,0,550,0,60,2,163.1,74.9,8.3,189,3,0,0,1,1,1,8,1,356931,4,3,2,64,3,1,5000,18,0,0,0,0,1,135,13,0,1,2,0,0,1,2.1,3,1,16,0,2,0,2,0,0,1,1,1,1,1,1,1178,0,2,1,1,1,0,0,0,0,1,0,0,13,1,1,1,1,1,1,0,0,0,0,0,0,1
13,577736,188367,150748,109883,128738,1,6.39,1440,3120,538,60,0,660,1,60,1,157.8,72.3,8.6,189,1,1,1,0,1,0,7,1,577736,6,3,2,128,3,2,4200,40,0,0,1,1,1,60,40,1,2,2,0,1,2,2,2.7,1,24,0,2,1,2,0,0,1,0,0,0,1,2,2121,4,2,1,1,1,1,0,0,0,0,1,0,21,1,1,1,1,1,1,1,0,0,1,0,0,1
12,1284112,342108,491558,218145,232301,0,6.78,1080,2400,388,120,0,1300,1,360,0,164.81,76.9,8.5,199.5,3,1,0,0,3,0,4,1,1284112,8,4,4,128,6,0,5000,120,0,0,0,0,1,25,50,0,1,2,0,2,2,2.5,3.1,1,16,0,1,1,2,0,0,0,1,0,0,0,1,418,1,2,1,1,1,0,0,0,0,0,1,1,20,1,1,1,1,1,1,0,0,0,0,0,1,0
2,273871,88093,42849,72409,70520,2,6.79,1080,2460,396,90,0,550,0,60,3,168.6,76.28,8.3,205,3,0,0,1,1,0,12,1,273871,6,3,2,128,1,1,5030,33,0,0,0,0,1,80,108,0,1,2,0,0,1,2.45,1.67,0.64,13,0,1,1,2,0,0,1,0,1,1,1,0,82,1,2,1,1,1,0,0,0,0,1,0,1,20,0,0,1,0,1,1,0,0,0,0,0,0,1
1,405358,122440,105572,91809,85537,1,5.5,1080,2160,439,60,0,420,1,60,1,145.6,68.2,7.9,148,1,1,1,2,5,1,10,1,405358,4,3,2,64,3,0,2915,18,1,0,1,0,1,120,12,0,2,2,0,1,2,1.8,3.2,1.4,8,0,2,0,1,0,1,0,0,0,0,0,2,2121,3,2,1,1,1,1,0,1,0,0,1,0,16,1,1,1,1,1,1,1,0,0,0,0,0,1
5,537067,173403,112518,112340,138806,3,6.7,1080,2408,394,120,0,400,0,60,1,164.7,77,7.4,176,3,0,0,1,5,0,6,1,537067,6,3,2,128,3,1,5000,25,1,0,0,0,1,93,108,0,1,2,0,1,2,2.2,4,1.12,32,0,1,0,2,0,0,1,1,0,1,1,1,874,1,4,1,1,1,0,0,0,0,1,0,0,20,1,1,1,0,1,1,0,0,0,0,0,0,1
11,237590,79884,33230,59280,65196,2,6.8,1080,2460,395,60,0,500,0,60,3,166.63,74.37,8.3,198,3,0,0,1,1,0,12,1,237590,4,3,2,128,1,1,5000,18,1,0,0,0,1,153,64,0,4,2,0,0,1,2,1.7,0.8,16,0,1,0,2,0,0,0,0,1,1,0,0,783,0,2,1,1,1,0,0,0,0,1,0,1,7,1,0,1,1,0,1,0,0,0,0,0,0,1
5,879941,247034,282380,179682,170845,5,6.4,1080,2340,403,120,0,800,1,60,1,155.7,74.5,7.9,177,1,0,1,0,2,1,5,1,879941,6,4,4,128,6,0,4500,25,1,0,1,1,1,75,12,1,1,2,0,2,2,2.2,2.74,0.8,32,0,2,0,2,0,0,0,1,0,0,1,2,964,3,4,2,1,1,0,0,0,0,0,1,0,19,1,1,1,1,1,1,1,1,1,0,0,0,1
2,829966,257185,201416,168318,203047,2,6.6,1080,2460,407,144,1,500,1,270,2,163.64,74.29,8.87,200,0,0,0,1,2,0,5,1,829966,8,4,4,128,6,0,5080,67,0,0,0,0,1,57,64,0,2,2,0,1,2,2.45,2,0.8,16,0,1,1,2,0,0,0,1,1,1,1,1,813,1,2,2,1,1,0,0,0,0,0,1,1,20,1,1,1,1,1,1,0,0,0,0,0,1,0
1,1179223,363260,396428,189558,229977,1,6.1,1080,2400,430,120,1,2000,1,60,1,152.1,72.7,8.9,188,11,0,1,0,1,1,4,1,1179223,8,4,4,128,6,0,4492,18,0,0,1,0,1,129,64,0,2,2,0,2,2,2.2,3.06,1.12,13,0,2,0,1,0,1,0,1,0,0,0,1,113,1,4,1,1,1,1,0,0,1,0,1,0,20,1,1,1,1,1,1,1,0,0,0,0,0,1
5,550479,177068,115091,101445,156865,3,6.6,1080,2340,390,120,1,1000,0,60,1,161.3,78.1,8.2,199,11,0,0,0,1,0,6,1,550479,6,3,2,128,4,1,5000,25,1,0,0,0,1,115,48,0,1,2,0,1,2,2.2,3.1,1.12,13,0,2,0,2,0,0,1,1,0,0,1,1,540,1,4,1,1,1,0,0,0,0,0,1,0,20,0,1,1,1,1,1,0,1,1,0,0,0,1
3,391549,131544,85380,91656,82961,2,6.8,1080,2400,386,60,0,450,0,60,3,169.8,77.9,9,213,3,0,0,1,1,1,11,1,391549,4,3,2,128,3,1,4000,10,0,0,0,0,0,120,48,0,1,2,0,1,2,2,3.06,1,16,0,0,0,2,0,0,0,0,1,0,0,1,1329,1,2,1,1,1,0,0,0,0,1,0,0,12,1,1,1,1,1,1,0,0,0,0,0,0,1
2,311060,106113,47575,87495,69877,2,6.71,720,1650,268,60,0,450,0,60,2,169.59,76.56,8.29,190,3,0,0,2,1,0,6,1,311060,4,3,2,64,4,1,5000,18,0,0,0,0,1,150,50,0,1,2,0,0,1,2.2,2.76,0.64,5,0,2,0,2,0,0,0,0,1,1,0,0,905,0,2,1,1,1,0,0,0,0,1,0,1,13,1,0,1,1,0,1,0,0,0,0,0,0,1
4,510190,182475,47264,145851,134600,0,6.78,1200,2652,431,120,0,1200,0,60,0,163.6,75.5,7.98,185,0,0,0,0,1,1,4,1,510190,8,4,4,256,6,0,5800,35,0,0,0,1,1,117,108,0,1,0,0,1,2,2.5,1.67,1,16,0,1,0,2,0,0,0,1,0,0,0,1,326,1,2,1,1,1,0,0,0,0,1,0,1,18,1,1,1,1,1,1,0,0,0,0,0,0,1
2,393646,126105,95163,75194,97184,0,6.67,1080,2400,395,120,1,450,1,240,1,164,76.5,8.1,193,0,1,0,1,1,1,8,1,393646,6,3,2,64,4,1,5020,33,0,0,0,0,1,81,108,0,1,2,0,1,2,2.5,3.06,1,16,0,2,1,2,0,0,0,0,1,1,1,1,1270,0,2,1,1,1,0,0,0,0,0,1,0,15,1,1,1,1,1,1,0,0,0,0,0,0,1
5,115167,46080,15916,32668,20503,2,6.2,720,1560,271,60,0,400,0,60,3,156.9,75.8,7.8,168,3,0,0,2,1,0,12,1,115167,2,1,1,32,1,1,4000,47,0,0,0,0,0,150,13,0,1,2,0,0,1,2,3.003953901,0.9680385288966724,8,0,0,0,2,0,0,1,0,1,1,1,1,1848,0,1,1,1,0,0,0,0,0,1,0,0,4,1,0,1,1,0,1,0,0,0,0,0,0,1
10,444291,150762,83813,97455,112261,2,6.49,1080,2400,406,120,0,550,0,60,2,168,78.58,10.45,231,1,0,0,1,1,0,6,1,444291,6,3,2,128,4,1,4800,33,0,0,0,0,1,135,64,0,2,2,0,0,1,2.4,4,1.12,16,0,1,0,2,0,1,1,1,1,0,1,1,448,1,2,1,1,1,0,0,0,0,0,1,1,18,1,1,1,1,1,1,1,0,0,0,0,0,1
5,149179,53962,9540,41846,43831,7,6.5,720,1600,270,60,0,450,0,60,3,164.2,75.9,9.1,211,3,0,0,3,1,3,28,0,149179,2,1,1,32,1,1,5000,10,1,1,0,0,0,170,8,0,1,2,0,0,1,2.2,3.003953901,0.9680385288966724,5,0,0,0,2,0,0,0,0,1,0,0,0,995,0,2,1,0,0,0,0,0,0,1,0,1,4,1,0,1,1,0,0,0,0,0,0,0,0,1
15,2210469,496599,906517,426516,380837,0,6.78,1080,2400,388,165,1,2500,1,720,0,163.8,76.8,8.9,225,1,1,1,0,4,0,4,1,2210469,16,5,4,512,7,0,5500,65,0,0,1,1,1,42,50,1,1,2,1,2,2,2.5,3.2,1.12,32,0,2,0,2,0,0,0,1,1,0,1,2,234,4,2,1,1,1,0,0,1,0,0,1,1,18,1,1,1,1,1,1,0,0,0,0,0,1,0
3,559917,187038,119116,112651,141112,4,6.7,1080,2400,393,144,0,1600,0,360,5,161.9,73.1,7.9,174.9,1,3,0,0,1,1,4,1,559917,8,3,2,128,4,0,5000,68,0,0,0,0,1,80,50,0,1,2,0,1,2,2.45,1.56,0.7,32,0,2,0,1,0,1,0,1,0,0,1,1,113,1,2,1,1,1,0,0,0,0,0,1,1,18,1,1,1,1,1,1,0,0,0,0,0,0,1
4,267195,86341,40028,65002,75824,6,6.56,720,1612,269,90,0,500,0,60,3,163.6,75.3,8.4,192,3,0,0,1,1,0,12,1,267195,4,3,2,128,1,1,5200,35,0,0,0,0,1,80,50,0,1,2,0,0,1,2.2,3.003953901,0.9680385288966724,5,0,2,0,2,0,0,0,0,1,0,0,0,82,1,2,1,1,1,0,0,0,0,1,0,1,20,1,1,1,1,1,1,0,0,0,0,0,0,1
11,404883,129182,79705,98632,97364,2,6.82,720,1600,257,90,0,450,0,60,3,170.6,77.5,8.7,213,3,0,0,1,1,0,6,1,404883,8,3,2,128,4,1,6000,18,1,0,0,0,1,80,50,0,2,2,0,0,2,1.8,3.003953901,1.12,8,0,2,0,2,0,0,0,0,1,1,0,1,691,0,2,1,1,0,0,0,0,0,0,1,1,20,1,1,1,1,1,1,0,0,0,0,0,0,1
2,2149581,502823,855638,428947,362173,1,6.67,1220,2712,446,144,1,4000,1,480,0,160.4,75.1,8.4,211,1,1,1,0,7,0,4,1,2149581,12,5,4,256,7,0,5500,120,0,0,0,0,1,24,50,0,2,2,2,2,2,2.4,2,1.75,20,0,2,1,2,0,0,0,1,0,0,1,2,52,1,2,2,1,1,0,0,1,0,0,1,1,20,1,1,1,1,1,1,0,0,0,0,0,1,0
14,1376731,377162,448983,309112,241774,0,6.78,1264,2780,450,120,1,6000,1,360,0,162,75.1,8.65,191,6,1,0,0,1,0,4,1,1376731,8,5,4,128,7,0,5500,120,0,0,0,0,1,28,50,0,2,2,0,2,2,2.5,2.74,0.8,32,0,2,1,2,0,0,0,1,0,0,1,1,113,1,4,1,1,1,0,0,0,0,0,1,1,18,1,1,1,1,1,1,0,0,0,0,0,1,0
5,236489,84269,47222,43479,61519,3,6.4,1080,2400,411,90,0,800,0,60,4,158.9,73.6,8.4,184,3,0,0,0,6,0,12,1,236489,4,3,2,64,1,1,5000,15,1,0,0,0,1,139,64,0,1,2,0,0,1,2.2,4,1.12,20,0,0,0,2,0,0,0,0,1,1,1,1,1298,0,2,1,1,1,0,0,0,0,1,0,0,12,1,1,1,1,1,1,0,0,0,0,0,0,1
6,1084831,343598,299511,190741,250981,0,6.74,1240,2772,451,120,1,600,1,360,0,162.6,75.1,8.1,193.5,5,1,0,0,0,0,4,1,1084831,8,5,4,128,6,0,5000,80,0,0,0,0,1,32,50,0,1,2,0,2,2,2.4,3.09,1,16,0,2,1,2,0,0,0,1,0,0,1,1,418,1,2,1,1,1,0,0,0,0,0,1,1,19,1,1,1,1,1,1,0,0,0,0,0,1,0
12,618023,209189,137524,136692,134618,0,6.78,1260,2800,453,120,0,1300,1,60,0,164.18,74.37,7.46,186,1,1,0,0,1,0,6,1,618023,8,3,2,128,4,0,4600,80,0,0,0,0,1,51,50,0,2,2,0,1,2,2,2.76,0.9680385288966724,50,0,2,0,1,0,1,0,1,0,0,0,1,326,2,2,1,1,1,0,0,0,0,1,0,1,18,1,1,1,1,1,1,0,0,0,0,0,0,1
8,1519899,319854,637431,287233,275381,0,6.8,1116,2480,400,120,0,1300,0,60,0,163.88,76.35,9.47,230,3,1,1,0,0,0,4,1,1519899,12,5,4,256,7,0,5000,165,0,0,0,0,1,14,50,0,1,2,2,2,2,2,2.8,1.12,16,0,2,0,2,0,0,0,1,1,0,0,2,630,3,2,2,1,1,0,0,0,0,0,1,1,20,1,1,1,1,1,1,0,0,0,0,1,0,0
5,379907,102856,112041,84115,80895,3,6.3,1440,2960,522,60,0,500,1,60,4,162.5,74.8,8.6,195,1,1,1,2,1,1,10,0,379907,6,3,2,64,3,1,3300,15,0,0,1,0,1,110,12,1,1,2,0,1,2,1.7,3.6,1.22,8,0,2,0,2,0,0,1,0,1,0,1,2,2547,3,3,1,1,1,0,0,1,0,1,0,0,16,1,1,1,1,1,1,1,0,0,0,0,0,1
3,265848,84658,40500,62569,78121,2,6.5,720,1600,270,90,0,450,0,60,3,162.89,74.08,9.19,195,4,0,0,1,1,0,12,1,265848,4,3,2,64,1,1,5000,15,0,0,0,0,1,120,50,0,1,2,0,0,1,2,4,1.12,8,0,0,0,1,0,0,0,0,1,0,1,0,479,0,2,1,1,1,0,0,0,0,0,1,1,12,1,1,1,1,1,1,1,0,0,0,0,0,1
4,795701,240472,253973,145987,155269,1,6.7,1200,2664,436,120,1,4000,1,60,0,161.5,74.6,7.7,187,3,2,0,0,2,0,4,1,795701,8,4,4,256,6,0,5200,100,0,0,0,1,1,45,50,0,1,2,0,2,2,2.1,1.56,1,50,0,2,0,1,0,1,0,1,0,0,1,1,113,1,4,1,1,1,0,0,1,0,0,1,1,18,1,1,1,1,1,1,0,0,0,0,0,0,1
14,1111330,293651,428311,177147,213311,0,6.7,1440,3216,526,120,1,500,1,60,0,163.2,74.7,8.2,189,3,0,1,0,3,1,4,1,1111330,8,4,4,128,6,0,5000,65,0,0,0,0,1,40,50,0,2,2,1,2,2,2.4,2.74,0.8,32,0,2,0,2,0,0,0,1,0,0,1,2,964,2,2,1,1,1,0,0,0,0,0,1,1,20,1,1,1,1,1,1,0,0,0,0,0,1,0
3,381057,123489,77114,79191,101263,2,6.7,1080,2400,393,60,0,450,1,60,3,166.1,76.1,9.9,212,3,0,0,1,8,1,8,1,381057,4,3,2,64,3,1,5000,20,0,0,0,0,1,131,48,0,1,2,0,1,2,2.2,2,1,16,0,2,0,2,0,0,1,1,1,1,0,1,1360,1,2,1,1,1,0,0,0,0,1,0,0,18,1,1,1,1,1,1,0,0,0,0,0,0,1
5,604726,192451,136485,116995,158795,3,6.6,1080,2340,390,120,1,1000,1,240,1,161.7,78,8.2,209,11,1,0,0,2,1,5,1,604726,6,3,2,128,6,1,5000,25,1,0,0,0,1,86,50,0,1,2,0,1,2,2.2,3.06,1.12,13,0,1,0,2,0,1,1,1,0,0,1,1,174,1,4,1,1,1,0,0,0,0,0,1,0,18,0,1,1,1,1,1,0,1,1,0,0,1,0
14,414935,129606,63977,114137,101572,2,6.72,1080,2400,392,120,0,680,0,60,2,165.7,76,7.89,190,5,0,0,1,5,0,6,1,414935,4,3,2,128,6,1,5000,33,0,0,0,0,1,69,50,0,1,2,0,0,1,2.1,2.76,0.64,8,0,0,0,2,0,0,0,1,1,0,0,0,265,0,2,1,1,1,0,0,0,0,0,1,1,20,1,0,1,1,1,1,0,0,0,0,0,0,1
2,1507957,393420,526555,320065,267917,0,6.67,1220,2712,446,120,0,2400,1,480,0,160.5,74.4,7.8,179,10,3,0,0,0,0,4,1,1507957,12,5,4,256,7,0,5000,90,0,0,0,0,1,35,50,0,1,2,0,2,2,2.2,4,0.8,20,0,2,1,2,0,0,0,1,0,0,1,1,143,1,2,2,1,1,0,0,0,0,0,1,1,20,1,1,1,1,1,1,0,0,0,0,0,1,0
3,458668,150576,80021,102889,125182,2,6.5,1080,2400,405,120,0,500,0,60,2,163.06,74.8,8.45,185,4,0,0,1,1,0,6,1,458668,6,3,2,256,3,1,5000,15,0,0,0,0,1,120,50,0,1,2,0,0,2,2.4,2.76,1,16,0,0,0,1,0,0,0,1,1,0,1,1,509,1,2,1,1,1,0,0,0,0,0,1,1,18,1,1,1,1,1,1,0,0,0,0,0,0,1
14,247675,91852,22955,66020,66848,2,6.74,720,1600,260,90,0,560,0,180,2,167.2,76.7,7.99,186,5,0,0,1,1,0,12,1,247675,4,3,2,64,1,1,5000,10,0,0,0,0,0,80,13,0,1,2,0,0,1,2.2,3.003953901,0.9680385288966724,5,0,0,0,2,0,0,0,0,1,0,0,0,234,0,1,1,1,0,0,0,0,0,1,0,1,7,1,0,1,1,0,1,0,0,0,0,0,0,1
3,578276,175641,149019,114917,138699,1,6.7,1080,2400,385,144,0,450,1,60,2,163,76,7,163,2,0,1,1,1,0,6,1,578276,8,3,2,128,4,0,4000,30,0,0,0,0,1,61,108,1,2,2,0,2,2,2.3,1.52,0.7,32,0,2,0,2,0,0,1,1,0,0,0,2,1117,2,4,1,1,1,0,0,0,0,1,0,0,18,1,1,1,1,1,1,0,0,0,0,0,0,1
0,154680,54012,18177,40689,41802,2,6.82,720,1640,263,90,0,500,0,180,3,170.57,77.5,8.6,205,3,0,0,1,1,0,12,0,154680,4,3,2,128,1,1,6000,18,0,0,0,0,1,240,16,0,2,2,0,0,1,2,3.003953901,0.9680385288966724,8,0,2,0,2,0,0,0,0,1,1,0,0,479,0,2,1,1,0,0,0,0,0,1,0,1,20,1,0,1,1,1,1,0,0,0,0,0,0,1
14,423087,140266,70632,109061,103128,3,6.4,1080,2400,411,90,0,1000,0,360,1,159.9,73.3,7.95,178,3,0,0,1,1,0,6,1,423087,4,3,2,64,4,1,5000,33,0,0,0,0,1,76,50,0,1,2,0,0,2,2.5,3.06,1,16,0,2,0,2,0,0,0,0,1,0,0,1,660,0,2,1,1,1,0,0,0,0,1,0,1,13,1,1,1,1,1,1,0,0,0,0,0,0,1
2,369361,125232,67675,76451,100003,2,6.53,1080,2340,395,60,0,640,1,60,3,161.4,76.4,8.8,200,2,1,0,2,1,0,12,1,369361,4,3,2,64,3,1,4500,18,0,0,0,0,1,120,64,0,1,2,0,1,2,2,3.1,0.9,20,0,2,1,2,0,0,1,0,1,1,0,1,1787,0,2,1,1,1,0,0,0,0,1,0,0,12,1,1,1,1,1,1,0,0,0,0,0,1,0
12,580645,201333,109072,136982,133258,2,6.72,1080,2408,393,120,0,1000,0,300,0,165.7,76,7.99,199,10,0,0,1,1,1,4,1,580645,8,3,2,128,4,1,6000,44,0,0,0,0,1,80,50,0,1,2,0,1,2,2.1,4,1.12,8,0,0,0,2,0,0,0,1,1,0,1,1,143,1,2,1,1,1,0,0,0,0,0,1,1,20,1,1,1,1,1,1,0,0,0,0,0,0,1
9,395565,134452,52276,102260,106577,0,6.43,1080,2400,409,90,0,800,0,180,1,160.8,73.84,7.85,183,3,0,0,0,1,0,6,1,395565,8,3,2,128,4,1,5000,33,0,0,0,1,1,75,100,0,1,2,0,0,1,2.4,3.003953901,0.64,32,0,2,0,2,0,0,0,0,1,1,0,1,568,1,2,1,1,1,0,0,0,0,0,1,1,13,1,1,1,1,1,1,0,0,0,0,0,0,1
2,160779,52804,16776,54670,36529,2,6.71,720,1650,268,60,0,400,0,60,3,169.59,76.56,9.18,204,2,0,0,2,1,3,7,1,160779,3,3,2,32,4,1,6000,18,0,0,0,0,1,240,13,0,1,2,0,0,1,2.2,3.003953901,0.9680385288966724,5,0,0,0,2,0,0,0,0,1,1,0,0,783,0,2,1,1,1,0,0,0,0,1,0,1,4,1,0,1,1,0,1,0,0,0,0,0,0,1
14,2069095,462949,858699,412582,334865,0,6.78,1264,2780,450,144,1,4500,1,60,0,161.72,75.06,9.23,218,10,1,1,0,4,0,4,1,2069095,12,5,4,256,7,0,5400,100,0,0,1,1,1,28,50,1,2,2,1,2,2,2.5,2.74,0.8,32,0,2,1,2,0,0,0,1,0,0,1,2,265,2,4,1,1,1,0,0,1,0,0,1,1,20,1,1,1,1,1,1,0,0,0,0,0,1,0
3,236164,79436,33658,58487,64583,2,6.5,720,1600,269,90,0,450,0,60,3,165.2,75.7,9.1,200,3,0,0,2,1,1,11,1,236164,4,3,2,64,3,1,5000,20,0,0,0,0,1,148,64,0,1,2,0,0,2,2.2,4,1.12,13,0,2,0,2,0,0,1,0,1,1,0,1,1298,0,2,1,1,1,0,0,0,0,1,0,0,13,1,1,1,1,0,1,0,0,0,0,0,0,1
9,761462,220742,222772,145990,171958,1,6.7,1440,3168,513,120,0,800,1,240,0,165.2,74.4,8.8,207,1,5,1,0,2,0,7,1,761462,12,4,2,512,5,0,4260,65,0,0,0,0,1,40,48,1,1,2,0,2,2,2.4,2.8,0.8,32,0,2,0,2,0,0,0,1,0,1,1,2,1604,5,2,1,1,1,0,0,0,0,0,1,0,20,1,1,1,1,1,1,0,0,0,0,0,0,1
5,1541246,371084,600732,299004,270462,5,6.8,1440,3088,500,120,1,850,1,240,1,163.4,78.1,8.9,233,1,1,1,0,0,0,4,1,1541246,8,5,4,256,7,0,5000,45,1,0,1,1,1,59,200,0,1,2,2,2,3,2.2,3.24,1.12,12,0,2,0,2,0,1,0,1,0,0,1,2,568,4,4,2,1,1,1,0,1,0,0,1,0,20,1,1,1,1,1,1,1,1,1,0,0,1,0
2,260204,73595,41818,72179,72582,2,6.74,720,1600,260,90,0,600,0,60,3,168,78,8.09,192,3,0,0,1,1,0,12,1,260204,6,3,2,128,1,1,5000,18,0,0,0,0,1,129,50,0,1,2,0,0,1,2,2.76,0.64,8,0,2,0,2,0,0,0,0,1,1,0,0,295,0,2,1,1,1,0,0,0,0,1,0,1,7,0,0,1,1,1,1,0,0,0,0,0,0,1
