,Unnamed: 0,Brand,Total Score,CPU,GPU,Memory,UX,Type,Display Size,Pixels_X,Pixels_Y,PPI,Refresh rate,Adaptive refresh rate,Max rated brightness,HDR support,Touch sampling rate,Height (mm),Width (mm),Thickness (mm),Weight (gr),Waterproof,Rear material,Frame material,Fingerprint scanner,L3 cache (mb),Manufacturing,Neural processor (NPU),Total score,RAM size (GB),Memory type,Channels,Storage size (GB),Storage type,Memory card,Battery capacity (mAh),Max charge power,Wireless charging,Reverse charging,Matrix (megapixels),Zoom,Flash,8K video recording,4K video recording,1080p video recording,Aperture,Sensor size,Pixel size (micron),Front camera megapixels,eSIM support*,5G support,Headphone audio jack,FM radio,Dolby Atmos,Category,Phone age in days,Launch price category,Video resolution_p,Video resolution_FPS,Bokeh mode,Pro mode,RAW support,Autofocus_Phase autofocus,Speakers_Mono,Speakers_Stereo,LTE Cat*,Proximity sensor,Gyroscope,Compass,Barometer,Hall,effect sensor,Advanced cooling_Active fan,Advanced cooling_Vapor chamber,Advanced cooling_nan
74,74,5,594133,192479,165956,92546,143152,3,6.4,1080,2340,403,120,1,1000,1,240,158.2,76.7,8.2,202,7,2,1,1,4,2,1,594133,6,3,2,128,6,1,5000,25,0,0,50,0,1,0,1,2,2.2,2.8,0.8,32,1,1,0,0,1,1,540,1,4,1,1,1,0,0,0,1,18,0,1,1,1,1,1,0,1,0
75,75,14,317925,111183,39950,82903,83889,3,6.4,1080,2400,411,90,0,430,0,360,160.2,73.3,7.99,178,4,1,1,1,0,3,1,317925,6,3,2,128,4,1,5000,33,0,0,108,0,1,0,0,1,2.1,3.13,1,16,0,0,1,0,1,1,874,1,2,1,1,1,0,0,1,0,20,1,1,1,0,0,0,0,0,1
76,76,1,1323184,394284,453826,261584,213490,1,6.8,1344,2992,486,120,1,3000,1,120,162.8,76.6,8.5,221,8,2,2,1,0,2,1,1323184,16,5,4,128,7,0,5060,37,1,1,50,1,2,2,2,2,2.2,2.51,1.2,42,1,1,0,0,0,2,21,4,4,2,1,1,1,1,0,1,20,1,1,1,1,0,0,0,1,0
77,77,2,358084,121908,43873,98672,93661,0,6.67,1080,2400,395,120,0,1800,0,120,162.24,75.55,7.97,188.5,4,1,1,1,0,3,1,358084,6,3,2,128,4,1,5000,33,0,0,108,0,1,0,0,1,2.4,3.06,1,16,0,0,1,0,1,1,234,0,2,1,1,1,0,0,0,1,13,1,1,1,0,0,0,0,0,1
78,78,14,462768,146515,81863,116243,118147,2,6.72,1080,2400,392,120,0,600,0,240,163.7,74.2,8.1,190,0,1,1,2,0,3,1,462768,8,3,2,128,4,1,5000,33,0,0,108,0,1,0,0,1,2.5,3.1,1,16,0,1,1,0,0,1,660,1,2,1,1,1,0,0,0,1,18,1,1,1,0,0,0,0,0,1
79,79,5,1461703,378453,518958,305820,258472,5,7.6,1812,2176,374,120,1,600,1,120,154.9,129.9,6.1,253,0,2,2,2,8,3,1,1461703,12,5,4,256,7,0,4400,25,1,1,50,0,1,1,2,2,1.8,3.2,1.22,10,1,1,0,0,1,2,387,6,4,2,1,1,1,0,0,1,20,1,1,1,1,0,0,0,1,0
80,80,15,2069048,488032,891544,375069,314403,0,6.78,1080,2400,388,144,1,2500,1,120,163.8,76.8,8.9,225,8,2,2,1,12,3,1,2069048,12,5,4,256,7,0,5500,65,1,1,50,0,1,1,2,2,2.5,3.2,0.7,32,0,1,1,0,0,2,143,3,2,1,1,1,1,1,0,1,20,1,1,1,0,1,1,0,1,0
81,81,2,1543465,393276,602835,261843,285511,0,6.36,1080,2400,414,120,1,1900,1,240,152.8,71.5,7.98,189,8,2,2,1,8,3,1,1543465,8,5,4,128,7,0,4500,67,1,1,50,0,2,1,2,2,2,3.14,0.7,32,1,1,0,0,1,2,630,3,2,1,1,1,0,0,0,1,20,1,1,1,1,0,0,0,1,0
82,82,14,1143789,340419,348187,201292,253891,1,6.74,1240,2772,451,144,1,600,1,360,163.85,75.75,8.95,193.1,0,0,0,1,8,3,1,1143789,8,5,4,256,6,0,5500,100,0,0,64,0,1,0,1,2,2.5,3.09,1,16,0,1,0,0,1,1,509,1,2,1,1,1,0,0,0,1,20,1,1,1,0,0,0,0,1,0
83,83,2,599824,193310,165228,107520,133766,0,6.39,1080,2340,403,60,0,600,1,120,156.7,74.3,8.8,191,0,2,2,1,2,3,1,599824,6,3,2,128,3,0,4000,27,0,0,48,1,2,0,2,2,2.2,3.4,0.8,20,0,0,1,1,0,2,1909,1,2,1,1,1,1,0,1,0,20,1,1,1,0,0,0,0,0,1
84,84,4,412091,124245,82760,92221,112865,0,6.67,1080,2400,395,120,0,800,0,300,161.6,73.9,7.9,175,0,1,1,1,0,3,1,412091,6,3,2,128,4,0,5100,40,0,0,64,0,1,0,0,1,2.5,3.003953901,0.8,16,0,1,0,0,0,1,599,1,2,1,1,1,0,0,1,0,18,1,1,1,0,0,0,0,0,1
85,85,5,186215,64608,19413,49245,52949,3,6.4,720,1560,268,60,0,500,0,120,158.5,74.7,7.8,169,0,1,1,1,0,2,0,186215,3,3,2,32,1,1,4000,15,0,0,25,0,1,0,0,1,2,3.1,1,16,0,1,1,1,1,1,1817,,2,1,1,1,0,0,1,0,10,1,1,1,0,0,0,0,0,1
86,86,17,771491,227609,209167,157166,177549,0,6.7,1080,2412,395,120,1,700,1,240,161.7,76.3,8.5,190,4,1,1,1,0,3,1,771491,8,3,2,128,4,0,5000,50,0,0,50,0,1,0,1,2,2.2,2.76,0.64,50,0,1,0,0,0,1,21,1,4,1,1,1,1,0,0,1,20,1,1,1,0,0,0,0,1,0
87,87,3,262388,83167,40636,64727,73858,2,6.5,720,1600,270,90,0,400,0,120,162.7,74.66,8.19,184.25,1,1,1,2,0,3,1,262388,4,3,2,64,1,1,5000,30,0,0,50,0,1,0,0,1,2.5,3.003953901,1,16,0,0,1,1,1,1,599,0,2,1,1,1,1,0,0,1,7,1,1,0,0,0,0,0,0,1
88,88,6,481956,155713,86446,115682,124115,0,6.67,1080,2400,394,120,1,2100,0,480,162.9,75.6,8.1,191,4,1,1,1,0,3,1,481956,8,3,2,256,4,1,5110,80,0,1,50,0,2,0,0,1,2.4,2,1,16,0,1,1,0,1,1,52,1,2,1,1,1,0,0,0,1,18,1,1,1,0,0,0,0,0,1
89,89,5,1539054,384369,603059,276564,275062,5,6.6,1080,2340,393,120,1,800,1,120,157.8,76.2,7.6,195,8,2,2,1,8,3,1,1539054,8,5,4,256,7,0,4700,45,1,1,50,0,1,2,2,3,2.2,3.24,1.12,12,1,1,0,0,1,2,568,3,4,2,1,1,1,1,0,1,20,1,1,1,1,1,1,0,1,0
90,90,6,422937,135260,61988,115742,109947,8,6.72,1080,2400,391,60,0,500,0,180,165.6,76,7.99,193,0,1,1,2,2,3,1,422937,4,3,2,128,4,0,5000,33,0,0,50,0,1,0,0,1,2,4,1.12,8,0,1,1,0,0,0,234,0,2,1,1,1,0,0,0,1,20,1,1,1,0,0,0,0,0,1
91,91,14,579994,173736,116421,134844,154993,0,6.7,1080,2412,394,120,0,500,1,360,161.6,73.9,8.2,183,0,1,1,1,0,3,1,579994,8,3,2,256,6,0,5000,100,0,0,200,0,1,0,1,2,2.5,2.74,0.8,32,0,1,0,0,1,1,479,1,2,1,1,1,0,0,0,1,20,1,1,1,0,0,0,0,1,0
92,92,2,736944,226237,182425,159360,168922,0,6.67,1220,2712,446,120,1,1800,1,120,161.4,74.2,8.9,204.5,8,2,1,1,4,3,1,736944,8,4,4,256,6,0,5000,120,0,0,200,0,2,0,1,2,2.6,3.06,1,16,1,1,0,0,1,1,234,1,2,2,1,1,0,0,0,1,20,1,1,1,0,0,0,0,1,0
93,93,4,445085,146281,83486,96932,118386,0,6.67,1080,2400,395,120,0,800,0,300,161.6,73.9,7.9,175,0,1,1,1,0,3,1,445085,6,3,2,128,4,0,5100,40,0,0,64,0,1,0,0,1,2.5,3.003953901,0.9680385288966724,16,0,1,0,0,1,1,568,1,2,1,1,1,0,0,1,0,18,1,1,1,0,0,0,0,0,1
94,94,5,175983,61138,16754,48223,49868,7,6.6,1080,2408,400,60,0,450,0,120,165.4,76.9,8.4,192,0,1,1,2,0,2,0,175983,4,3,2,64,1,1,5000,15,0,0,50,0,1,0,0,1,2.2,5,1.12,8,0,0,1,1,1,0,813,0,2,1,1,1,0,0,1,0,7,0,0,1,0,0,0,0,0,1
95,95,15,1524799,378774,608654,296031,241340,3,5.92,1080,2400,445,144,0,1100,1,120,146.5,68.1,9.4,172,8,1,2,2,8,3,1,1524799,8,5,4,128,7,0,4300,30,1,1,50,0,1,1,3,2,2.5,3.2,0.7,32,0,1,1,0,0,2,418,3,2,1,1,1,0,0,0,1,20,1,1,1,0,0,0,0,0,1
96,96,9,928202,248635,304974,168634,205959,0,6.55,1080,2400,402,120,1,500,1,240,160.3,72.6,8.7,196,8,2,2,1,4,2,1,928202,8,4,4,128,6,0,4800,80,1,1,50,0,1,0,2,2,2.4,2.74,0.8,32,1,1,0,0,1,2,905,3,2,1,1,1,1,0,0,1,20,1,1,1,0,0,0,0,0,1
97,97,5,470477,156698,105189,87071,121519,3,6.5,1080,2400,405,120,1,500,1,120,159.6,74.8,8.1,189,7,1,1,1,0,2,1,470477,6,3,2,128,4,1,5000,25,0,0,64,0,1,0,1,2,2.2,2.8,0.8,32,0,1,0,0,1,1,874,1,4,1,1,1,0,0,0,1,18,0,1,1,0,1,1,0,0,1
98,98,2,399096,129223,78383,78622,112868,0,6.67,1080,2400,395,120,0,700,1,240,164.2,76.1,8.12,201.8,3,1,1,2,0,2,1,399096,6,3,2,128,4,1,5000,67,0,0,108,0,1,0,1,2,2.4,3.13,1,16,0,0,1,1,1,1,509,1,2,1,1,1,0,0,0,1,18,1,1,1,0,0,0,0,0,1
99,99,15,1284953,347381,441438,231406,264728,0,6.78,1080,2448,395,165,0,800,1,720,173,77,10.4,239,0,2,2,1,8,3,1,1284953,12,5,4,256,6,0,6000,65,0,1,50,0,1,1,2,2,2.4,1.56,1,12,0,1,1,0,1,2,691,4,2,1,1,1,0,0,0,1,20,1,1,1,0,0,0,0,1,0
100,100,2,1399146,358682,478125,300340,261999,0,6.55,1236,2750,460,120,1,3000,1,240,157.2,72.77,7.45,179.3,0,2,2,1,8,3,1,1399146,8,5,4,256,7,0,4700,67,0,0,50,1,2,0,2,2,2,2.8,0.8,32,0,1,0,0,1,2,82,2,4,1,1,1,0,1,0,1,20,1,1,1,0,0,0,0,1,0
101,101,3,152974,57859,18015,39028,38072,6,6.5,720,1600,268,90,0,460,0,120,163.95,74.94,8.49,185,1,1,1,2,0,3,0,152974,4,3,2,64,1,1,5000,15,0,0,50,0,1,0,0,1,2.5,4,1.75,16,0,0,1,0,0,1,905,0,2,1,1,1,0,0,1,0,7,1,1,1,0,0,0,0,0,1
102,102,5,131372,50286,6591,34538,39957,7,6.5,720,1600,270,60,0,500,0,120,164,75.9,9.1,206,0,1,1,0,0,3,0,131372,2,1,1,32,1,1,5000,47,0,0,13,0,1,0,0,1,2,3.003953901,1.12,5,0,0,1,1,1,0,1329,0,2,1,1,0,0,0,1,0,4,1,0,0,0,0,0,0,0,1
103,103,5,1582132,390737,616030,305189,270176,5,6.7,1080,2640,425,120,1,500,1,120,165.1,71.9,6.9,187,0,2,2,2,8,3,1,1582132,8,4,4,256,7,0,3700,25,1,1,12,0,1,0,2,2,2.2,3,1.22,10,1,1,0,0,1,2,387,3,4,2,1,1,0,0,0,1,20,1,1,1,1,1,1,0,1,0
104,104,3,426241,132393,65485,112845,115518,4,6.6,1080,2400,402,120,0,500,0,120,160.5,74.4,7.9,166,2,1,1,1,0,3,1,426241,6,3,2,128,3,1,5000,33,0,0,108,0,1,0,0,2,2.5,5,1,16,0,1,1,1,1,1,691,1,2,1,1,1,0,0,0,1,13,1,1,1,0,0,0,0,0,1
105,105,14,400185,121827,95212,80801,102345,3,6.4,1080,2400,411,60,0,430,1,180,160.6,73.9,8,177,0,1,1,1,0,3,1,400185,4,3,2,64,3,1,5000,30,0,1,64,0,1,0,1,2,2.5,3,1,16,0,0,1,0,0,1,1270,0,2,3,1,1,0,0,1,0,12,1,1,1,0,0,0,0,0,1
106,106,2,380097,132778,61339,87750,98230,2,6.53,1080,2340,405,90,0,500,0,120,161.8,75.3,8.9,190,0,1,1,2,2,3,1,380097,4,3,2,64,4,1,5000,18,0,0,48,0,2,0,0,1,2,4,1.12,8,0,1,1,1,0,1,1239,0,2,1,1,1,0,0,1,0,18,1,1,1,0,0,0,0,0,1
107,107,13,333924,108429,48773,112870,63852,2,6.95,1080,2376,376,90,0,500,0,270,171.6,79.9,8.9,214,1,0,1,2,0,3,1,333924,6,3,2,128,4,1,7000,22,0,0,50,0,1,0,0,1,2,3.003953901,0.9680385288966724,8,0,0,0,0,0,1,448,1,2,1,1,1,0,0,0,1,20,1,1,1,0,0,0,0,0,1
108,108,5,306996,98433,40363,89624,78586,7,6.7,1080,2400,393,90,0,450,0,120,168,77.8,8.8,194,0,1,1,2,0,3,1,306996,4,3,2,64,1,1,5000,25,0,0,50,0,1,0,0,2,2,3.003953901,0.9680385288966724,13,0,0,1,0,1,0,326,0,2,1,1,1,0,0,1,0,13,1,0,0,0,0,0,0,0,1
109,109,13,741333,200677,236558,148683,155415,1,6.6,1228,2700,450,120,0,550,1,300,158.8,72.8,8.5,195,8,2,2,1,4,2,1,741333,8,4,2,128,6,2,4360,66,1,1,50,0,2,0,2,2,2.4,3.06,1.12,13,0,0,0,0,1,2,1117,3,4,2,1,1,1,0,0,1,20,1,1,1,1,0,0,0,0,1
110,110,13,823241,274900,150777,231760,165804,1,6.76,1224,2776,449,120,1,500,1,300,163.14,74.96,7.68,198,0,0,1,1,0,1,1,823241,8,4,4,512,6,0,4600,100,0,1,50,0,1,0,1,2,2.4,2.8,0.61,60,0,1,0,0,0,1,234,3,4,1,1,1,0,0,0,1,20,0,1,1,0,0,0,0,0,1
111,111,13,701953,214145,214152,136663,136993,1,6.1,1080,2340,422,60,0,500,1,120,148.9,71.1,8.5,175,3,2,2,1,0,3,1,701953,8,3,2,128,5,2,3800,22,0,1,50,1,2,0,2,2,2,2.8,0.8,32,1,1,0,0,1,2,1635,2,4,2,1,1,1,1,1,0,21,1,1,1,1,1,1,0,0,1
112,112,14,285301,89617,48528,80274,66882,2,6.74,1080,2400,390,90,0,560,0,120,167.3,76.7,7.49,182,0,1,1,2,0,3,1,285301,4,3,2,64,1,1,5000,33,0,0,50,0,1,0,0,1,2,3.003953901,0.9680385288966724,8,0,1,1,0,0,0,479,0,1,1,1,1,0,0,1,0,7,1,1,1,0,0,0,0,0,1
113,113,5,1808358,439226,699498,366148,303486,5,6.7,1440,3120,513,120,1,2600,1,120,158.5,75.9,7.7,196,8,2,2,1,8,2,1,1808358,12,5,4,256,7,0,4900,45,1,1,50,1,1,2,2,2,2.2,3.2,1.12,12,1,1,0,0,1,2,234,3,4,2,1,1,1,1,0,1,20,1,1,1,1,1,1,0,1,0
114,114,5,1503165,374434,629926,220495,278310,5,6.1,1080,2340,425,120,1,800,1,120,146.3,70.9,7.6,168,8,2,2,1,8,3,1,1503165,8,5,4,128,7,0,3900,25,1,1,50,0,1,2,2,3,2.2,3.24,1.12,12,1,1,0,0,1,2,568,3,4,2,1,1,1,0,0,1,20,1,1,1,1,1,1,0,1,0
115,115,2,600986,202613,115546,136116,146711,0,6.67,1220,2712,446,120,1,1800,1,120,161.15,74.24,7.98,187,4,1,1,1,0,2,1,600986,8,3,2,128,4,0,5100,67,0,0,200,0,2,0,1,2,2.6,3.06,1,16,1,1,1,0,1,1,234,1,2,2,1,1,0,0,0,1,18,0,1,1,0,0,0,0,0,1
116,116,2,1234229,331276,485862,182917,234174,0,6.73,1440,3200,521,120,1,1000,1,240,163.17,74.92,9.06,225,8,0,2,1,6,3,1,1234229,8,4,4,256,6,0,4860,67,1,1,50,0,2,1,2,2,2.5,3.2,0.7,32,0,1,0,0,1,2,783,3,2,1,1,1,1,0,0,1,20,1,1,1,0,0,0,0,1,0
117,117,2,628792,192750,172700,113522,149820,0,6.55,1080,2400,402,90,0,500,1,240,160.5,75.7,6.8,159,3,2,1,2,0,2,1,628792,6,3,2,128,4,1,4250,33,0,0,64,0,2,0,1,2,2.2,3.4,0.8,20,0,1,0,0,0,1,1239,1,2,2,1,1,0,0,0,1,20,1,1,1,0,0,0,0,0,1
118,118,5,1075398,294693,386444,169798,224463,5,6.8,1440,3088,500,120,1,830,1,120,163.3,77.9,8.9,228,8,2,2,1,6,2,1,1075398,8,4,4,128,6,0,5000,45,1,1,108,0,1,1,2,2,2.2,2.82,0.9680385288966724,40,1,1,0,0,1,2,933,4,4,2,1,1,1,1,0,1,20,1,1,1,1,1,1,0,1,0
119,119,2,435037,147952,80281,92531,114273,0,6.67,1080,2400,395,120,0,700,0,360,164.19,76.1,8.12,205,3,2,1,2,0,3,1,435037,6,3,2,128,4,1,5000,67,0,0,108,0,1,0,0,1,2.5,3.06,1,16,0,1,1,1,1,1,905,0,2,1,1,1,0,0,0,1,18,1,1,1,0,0,0,0,0,1
120,120,5,248974,61439,45211,74292,68032,3,6.5,1080,2400,405,60,0,400,0,120,158.5,73.6,7.9,172,0,1,1,1,0,2,1,248974,4,3,2,64,2,1,4000,15,0,0,48,0,1,0,1,1,2.2,2.8,0.8,32,0,0,1,1,1,1,1726,1,4,1,1,1,0,0,1,0,12,1,1,1,0,0,0,0,0,1
121,121,8,2140227,481550,908955,410846,338876,0,6.8,1116,2480,400,120,0,1500,0,120,164,76.4,8.8,246,8,2,2,1,12,3,1,2140227,8,5,4,256,7,0,6000,80,0,0,50,1,2,2,3,3,1.8,1.55,0.9680385288966724,12,0,1,0,0,1,2,265,2,2,1,1,1,0,0,0,1,20,1,1,1,0,0,0,0,1,0
122,122,8,1529697,384073,592577,274819,278228,0,6.8,1116,2480,400,120,0,500,1,120,163.88,76.35,9.47,228,0,2,2,1,8,3,1,1529697,8,5,4,128,7,0,6000,65,0,0,50,0,1,2,2,2,2,2.8,1.12,16,0,1,1,0,0,2,630,2,2,2,1,1,0,0,0,1,20,1,1,1,0,0,0,1,0,0
123,123,12,957800,277623,265097,190998,224082,0,6.78,1260,2800,453,120,0,1300,0,120,164.2,74.4,7.5,188,0,2,2,1,4,3,1,957800,8,4,4,256,6,0,4600,80,0,0,50,1,1,0,1,2,2,2.76,1.22,50,0,1,0,0,1,1,326,1,2,1,1,1,0,1,1,0,20,1,1,1,0,0,0,0,1,0
124,124,6,753639,237030,194865,138888,182856,0,6.55,1080,2400,402,120,0,760,1,240,160.7,74.1,8.4,188,0,2,2,1,4,3,1,753639,8,3,2,128,6,0,4500,65,0,0,48,0,2,0,2,2,2,3.06,1,16,0,1,0,0,1,2,1421,2,2,1,1,1,1,1,0,1,20,1,1,1,1,0,0,0,0,1
125,125,6,595132,188127,137430,129709,139866,0,6.55,1080,2400,402,90,0,1000,1,120,160.9,74.5,8.1,190,0,2,2,1,2,3,1,595132,8,3,2,128,5,0,3800,30,0,0,48,1,2,0,2,2,2,3.1,1,16,0,0,0,0,1,2,1817,2,2,1,1,1,1,0,0,1,16,1,1,1,0,0,0,0,0,1
126,126,2,432616,154904,49004,115786,112922,2,6.79,1080,2460,396,90,1,550,0,240,168.6,76.28,8.17,199,3,2,1,2,0,2,1,432616,4,3,2,64,4,1,5000,18,0,0,50,0,1,0,0,1,2,3.003953901,1.12,8,0,1,1,0,1,1,387,0,2,1,1,1,0,0,1,0,18,0,1,1,0,0,0,0,0,1
127,127,5,388109,133239,73877,76696,104297,3,6.5,1080,2400,407,90,0,400,1,120,159.9,75.1,8.4,189,7,1,1,1,0,2,1,388109,4,3,2,128,3,1,4500,25,0,0,64,0,1,0,1,2,2.2,2.8,0.8,32,0,0,1,1,1,1,1270,1,4,1,1,1,0,0,0,1,15,1,1,1,0,0,0,0,0,1
128,128,14,580770,197905,95172,145104,142589,0,6.7,1080,2412,394,120,0,950,0,240,161.47,74.02,8.35,184,5,0,0,1,0,2,1,580770,8,3,2,128,6,0,5000,45,0,0,50,0,1,0,1,2,2.4,3,1,16,0,1,0,0,1,1,143,1,2,1,1,1,0,0,0,1,18,1,1,1,0,0,0,0,0,1
129,129,6,1441869,381368,486801,305194,268497,0,6.74,1240,2772,451,120,1,2150,1,120,162.7,75.2,8.5,200,5,2,1,1,0,3,1,1441869,12,5,4,256,7,0,5500,100,0,0,50,0,1,0,2,2,2.4,3,0.9680385288966724,16,0,1,0,0,1,1,234,1,2,2,1,1,0,0,0,1,18,1,1,1,0,0,0,0,1,0
130,130,2,131111,42168,17833,40327,30783,2,6.52,720,1600,269,60,0,400,0,120,164.9,76.8,9.1,192,0,1,1,0,0,3,0,131111,2,3,2,32,1,1,5000,10,0,0,8,0,1,0,0,1,2.2,3.003953901,0.9680385288966724,5,0,0,1,1,0,0,540,0,2,1,1,0,0,0,1,0,4,0,0,0,0,0,0,0,0,1
131,131,2,358532,126833,64718,70990,95991,0,6.39,1080,2340,403,60,0,430,1,120,156.7,74.3,8.8,191,0,2,2,1,0,2,1,358532,6,3,2,64,3,0,4000,18,0,0,48,1,2,0,1,2,2.2,3.4,0.8,20,0,0,1,1,0,1,1909,1,2,1,1,1,1,0,1,0,15,1,1,1,0,0,0,0,0,1
132,132,2,1178353,311765,436243,211003,219342,0,6.67,1080,2400,395,120,0,500,1,480,162.5,76.7,8.5,210,0,2,2,2,6,2,1,1178353,8,4,4,128,6,0,4700,120,0,0,64,0,2,0,2,2,2.4,2,0.8,20,0,1,0,0,1,2,874,1,2,2,1,1,0,0,0,1,20,0,1,1,0,0,0,0,1,0
133,133,13,1237186,347330,479118,189225,221513,1,6.74,1212,2616,428,120,1,550,1,300,162.1,75.5,8.5,209,8,2,2,1,6,3,1,1237186,8,4,4,256,6,2,4700,66,1,1,50,0,2,0,2,2,2.2,2,0.7,13,0,0,0,0,0,2,721,4,4,2,1,1,1,1,0,1,20,1,1,1,1,1,1,0,1,0
134,134,14,535536,177132,112841,106425,139138,0,6.7,1080,2412,394,120,0,500,1,360,161.5,73.9,7.95,174.5,0,1,1,1,0,3,1,535536,8,3,2,128,4,0,5000,67,0,0,108,0,1,0,1,2,2.5,3.1,1,16,0,1,0,0,0,1,660,1,2,1,1,1,0,0,0,1,20,1,1,1,0,0,0,0,1,0
135,135,2,387217,130988,90091,72615,93523,2,6.67,1080,2400,395,60,0,628,1,120,166,77,8.8,210,0,2,1,2,0,2,1,387217,4,3,2,64,3,1,5020,18,0,0,48,0,1,0,1,2,2.5,3.06,1,16,0,0,1,1,0,1,1604,0,2,1,1,1,0,0,1,0,12,1,1,1,0,0,0,0,0,1
136,136,13,578896,187221,137987,125280,128408,1,6.78,1200,2652,429,120,0,800,1,240,164.24,74.35,7.88,188,0,2,1,1,0,3,1,578896,8,3,2,256,6,0,4500,100,0,1,50,0,1,0,1,2,2.4,2.8,0.61,60,0,0,0,0,1,1,509,2,4,1,1,1,0,0,0,1,20,0,1,1,0,0,0,0,0,1
137,137,14,807783,244570,218576,149157,195480,0,6.62,1080,2400,397,120,1,500,1,600,162.9,75.8,8.6,200,0,2,1,1,4,3,1,807783,6,3,2,128,6,0,5000,65,0,0,64,0,2,0,2,2,2.5,3.13,1,16,0,1,0,0,1,2,1086,1,2,1,1,1,0,0,0,1,20,1,1,1,0,0,0,0,1,0
138,138,2,398133,129962,96729,63272,108170,2,6.67,1080,2400,395,120,0,450,1,240,165.3,76.8,9.4,215,3,1,2,2,0,2,1,398133,6,3,2,64,3,1,5160,33,0,0,64,0,2,0,1,2,2.2,3.4,0.8,20,0,0,1,1,1,1,1451,0,2,1,1,1,0,0,0,1,15,1,1,1,0,0,0,0,0,1
139,139,11,400284,130933,52553,115339,101459,0,6.66,1080,2460,403,90,0,450,0,120,164.79,77,9.19,211,0,1,1,2,0,3,1,400284,8,3,2,256,4,1,6000,45,0,1,50,0,2,0,0,2,2.4,3.003953901,0.9680385288966724,8,0,0,1,1,0,1,691,1,2,1,1,0,0,0,0,1,13,1,1,1,0,0,0,0,0,1
140,140,10,153069,56144,21573,41952,33393,2,6.52,720,1600,269,60,0,480,0,120,164.9,76,9.2,197,0,1,1,2,0,3,0,153069,4,3,2,64,1,1,5050,10,0,0,48,0,1,0,0,1,1.8,2,0.8,8,0,0,1,1,0,1,1209,0,2,1,1,1,0,0,1,0,7,1,1,0,0,0,0,0,0,1
141,141,2,658119,193964,220000,113151,131004,0,6.39,1080,2340,403,60,0,600,1,120,157.5,74.6,7.6,173,0,2,2,1,2,3,1,658119,6,3,2,128,3,0,3300,27,1,0,48,1,2,0,2,2,2,3,0.9,20,0,0,0,0,0,2,1970,1,2,1,1,1,1,0,1,0,20,1,1,1,1,1,1,0,0,1
142,142,5,719588,203367,218526,133139,164556,5,6.9,1440,3200,511,120,0,800,1,120,166.9,76,8.8,220,8,2,2,1,2,2,1,719588,12,4,2,128,5,1,5000,45,1,1,108,1,1,1,2,2,2.2,2.65,0.7,40,1,1,0,0,1,2,1635,5,4,2,1,1,1,0,0,1,22,1,1,1,1,1,1,0,1,0
143,143,2,208387,83938,25798,46030,52621,2,5.99,1080,2160,403,60,0,450,0,120,158.5,75.4,8,180,0,3,2,3,0,2,1,208387,3,3,2,32,1,1,4000,18,0,0,12,0,2,0,0,2,2,2.9,1.4,5,0,0,1,1,0,1,2394,0,2,1,1,0,0,0,1,0,12,1,1,1,0,0,0,0,0,1
144,144,4,293283,101579,38555,87651,65498,2,6.74,720,1600,260,90,0,450,0,120,167.59,77.19,8.62,198,0,1,1,2,0,3,1,293283,4,3,2,128,1,1,5000,22,0,0,48,0,1,0,0,1,2,3.003953901,0.8,8,0,0,1,0,0,1,874,0,2,1,1,1,0,0,1,0,12,0,1,1,0,0,0,0,0,1
145,145,5,1070306,291874,362777,191619,224036,5,6.7,1080,2640,425,120,1,500,1,120,165.2,71.9,6.9,187,0,2,2,2,6,3,1,1070306,8,4,4,128,6,0,3700,25,1,1,12,0,1,0,2,2,2.4,3.2,1.22,10,1,1,0,0,1,2,752,3,4,2,1,1,0,0,0,1,20,1,1,1,0,0,0,0,0,1
146,146,5,323135,111824,66059,60319,84933,3,6.7,1080,2400,393,60,0,650,0,120,163.9,76.3,9.5,213,0,1,1,2,0,2,1,323135,6,3,2,128,3,1,7000,25,0,1,64,0,1,0,1,1,2.2,2.8,0.8,32,0,0,1,1,1,1,1451,1,4,2,1,1,0,0,1,0,15,1,1,1,0,0,0,0,0,1
147,147,4,591363,189613,158736,121205,121809,2,6.26,1080,2340,412,60,0,500,0,120,154.6,73.9,8.4,182,0,2,2,2,0,3,1,591363,8,3,2,256,3,0,4000,22,0,0,48,1,1,0,1,2,2,3.1,0.8,32,0,0,0,0,0,2,1909,2,2,1,1,1,1,0,1,0,21,1,1,1,0,0,0,0,0,1
148,148,3,157203,56155,11408,43893,45747,6,6.5,720,1600,269,60,0,550,0,120,167.4,75.6,8.8,188,2,1,1,3,0,3,0,157203,3,3,2,32,1,1,4000,10,0,0,13,0,1,0,0,1,2.4,3.003953901,1.12,5,0,0,1,1,0,1,1056,0,2,1,1,1,0,0,1,0,4,1,0,0,0,0,0,0,0,1
149,149,5,765381,207699,247886,144292,165504,5,6.9,1440,3088,496,120,1,600,1,120,164.8,77.2,8.1,208,8,2,2,1,2,2,1,765381,8,4,3,256,6,1,4500,25,1,1,108,1,1,1,2,4,2.2,3.2,1.22,10,1,1,0,1,1,2,1482,5,4,2,1,1,1,0,0,1,20,1,1,1,1,1,1,0,1,0
