Brand,Total Score,CPU,GPU,Memory,UX,Type,Display Size,Pixels_X,Pixels_Y,PPI,Refresh rate,Adaptive refresh rate,Max rated brightness,HDR support,Touch sampling rate,Display features,Height (mm),Width (mm),Thickness (mm),Weight (gr),Waterproof,Rear material,Frame material,Fingerprint scanner,L3 cache (mb),Manufacturing,Lithography process (nm),Neural processor (NPU),Total score,RAM size (GB),Memory type,Memory clock,Channels,Storage size (GB),Storage type,Memory card,OS suppoert (years),Battery capacity (mAh),Max charge power,Battery type,Battery replaceability,Wireless charging,Reverse charging,Fast charging,Full charging time (min),Web browsing (min),Watching video (min),Gaming (min),Standby (hr),Matrix (megapixels),Zoom,Flash,Stabilization,8K video recording,4K video recording,1080p video recording,Angle of widest lens (°),Camera features,Aperture,Sensor size,Pixel size (micron),Autofocus,Front camera megapixels,Video resolution,Depth sensor (TOF 3D),NFC*,Infrared port,Number of SIM*,Type of SIM card,Multi SIM mode,eSIM support*,Hybrid slot,5G support,Speakers,Headphone audio jack,FM radio,Dolby Atmos,Category,Phone age in days,Launch price ($),Bundled charger,Max rated brightness in HDR (nits),RGB color space (%),PWM,Front camera Response time (ms),Front camera Focal length (mm),LTE Cat*,Front camera Max surface temperature (C),Front camera Stability (%),Front camera Graphics test (FPS),Graphics score,Web score,Video editing,Photo editing,Data manipulation,Writing score,Advanced cooling,Proximity sensor,Gyroscope,Accelerometer,Ambient light sensor,Compass,Fingerprint,Barometer,Hall,effect sensor,Face recognition sensor
OnePlus,595132,188127,137430,129709,139866,AMOLED,6.55,1080,2400,402,90,0,1000.0,1,, - DCI-P3 - Always-On Display - DC Dimming,160.9,74.5,8.1,190.0,IPX4,Glass,Metal,"Yes, in-display",2.0,TSMC,7.0,1,595132,8,LPDDR4X,2133.0,2.0,128,UFS 3.0,No,2.0,3800,30.0,Li-Po,No,0,0,1,60.0,475.0,714.0,285.0,103.0,48.0,Optical,Dual LED,Digital,No,Up to 60FPS,Up to 60FPS,117.0, - Bokeh mode - Pro mode - RAW support,2.0,3.1,1.0,No,16.0,1080p (Full HD) at 30 FPS,No,Yes,No,2,Nano,Standby,No,No,No,Stereo,No,No,Yes,Flagship,1817,600.0,0,,99.6,357.0,6.0,25.0,16.0,50.7,97.0,14.0,2401.0,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
Xiaomi,432616,154904,49004,115786,112922,IPS LCD,6.79,1080,2460,396,90,1,550.0,0,240.0, - DCI-P3,168.6,76.28,8.17,199.0,IP53,Glass,Plastic,"Yes, in-button",,Samsung,4.0,1,432616,4,LPDDR4X,2133.0,2.0,64,UFS 2.2,MicroSD,,5000,18.0,Li-Po,No,0,0,1,139.0,,,,,50.0,Digital,LED,Digital,No,No,Up to 30FPS,, - Bokeh mode - Pro mode,2.0,,1.12,No,8.0,1080p (Full HD) at 30 FPS,No,No,Yes,2,Nano,Standby,No,Yes,Yes,Mono,Yes,No,Yes,Mid-range,387,150.0,1,,,,,,18.0,,,,,,,,,,,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
Samsung,388109,133239,73877,76696,104297,Super AMOLED,6.5,1080,2400,407,90,0,400.0,1,, - Always-On Display,159.9,75.1,8.4,189.0,IP67,Plastic,Plastic,"Yes, in-display",,Samsung,8.0,1,388109,4,LPDDR4X,2133.0,2.0,128,UFS 2.1,MicroSD,3.0,4500,25.0,Li-Ion,No,0,0,1,90.0,490.0,748.0,297.0,122.0,64.0,Digital,LED,Digital,No,Up to 30FPS,Up to 60FPS,123.0, - Bokeh mode - Pro mode,2.2,2.8,0.8,No,32.0,2160p (4K) at 30 FPS,No,Yes,No,2,Nano,Standby,No,Yes,No,Stereo,Yes,Yes,Yes,Mid-range,1270,350.0,0,,99.3,183.0,4.4,26.0,15.0,40.1,99.0,6.0,1039.0,7270.0,6298.0,17571.0,7454.0,9114.0,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
Realme,580770,197905,95172,145104,142589,AMOLED,6.7,1080,2412,394,120,0,950.0,0,240.0, - DCI-P3 - Always-On Display - DC Dimming,161.47,74.02,8.35,184.0,IP65,,,"Yes, in-display",,Samsung,4.0,1,580770,8,LPDDR4X,2133.0,2.0,128,UFS 3.1,No,,5000,45.0,Li-Po,No,0,0,1,76.0,,,,,50.0,Digital,LED,Digital,No,Up to 30FPS,Up to 60FPS,112.0, - Bokeh mode - Pro mode,2.4,3.0,1.0,No,16.0,1080p (Full HD) at 30 FPS,No,No,No,2,Nano,Standby,No,No,Yes,Stereo,No,No,Yes,Mid-range,143,270.0,1,,,,,24.0,18.0,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
OnePlus,1441869,381368,486801,305194,268497,AMOLED,6.74,1240,2772,451,120,1,2150.0,1,, - DCI-P3 - Always-On Display - DC Dimming,162.7,75.2,8.5,200.0,IP65,Glass,Plastic,"Yes, in-display",,TSMC,4.0,1,1441869,12,LPDDR5X,,4.0,256,UFS 4.0,No,,5500,100.0,Li-Po,No,0,0,1,26.0,,,,,50.0,Digital,LED,Digital,No,Up to 60FPS,Up to 60FPS,112.0, - Bokeh mode - Pro mode,2.4,3.0,,No,16.0,1080p (Full HD) at 60 FPS,No,Yes,Yes,2,Nano,Standby,No,No,Yes,Stereo,No,No,,Mid-range,234,280.0,1,,,,,26.0,18.0,,,,,,,,,,Vapor chamber,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
Xiaomi,131111,42168,17833,40327,30783,IPS LCD,6.52,720,1600,269,60,0,400.0,0,,,164.9,76.8,9.1,192.0,No,Plastic,Plastic,No,,TSMC,12.0,0,131111,2,LPDDR4X,1600.0,2.0,32,eMMC 5.1,MicroSD,,5000,10.0,Li-Ion,No,0,0,0,163.0,,,,,8.0,Digital,LED,Digital,No,No,Up to 30FPS,, - Bokeh mode,2.2,,,No,5.0,1080p (Full HD) at 30 FPS,No,No,No,2,Nano,Standby,No,No,No,Mono,Yes,Yes,No,Budget,540,115.0,1,,95.0,,30.0,,4.0,,,,,,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Xiaomi,358532,126833,64718,70990,95991,AMOLED,6.39,1080,2340,403,60,0,430.0,1,, - Always-On Display,156.7,74.3,8.8,191.0,No,Glass,Metal,"Yes, in-display",,Samsung,8.0,1,358532,6,LPDDR4X,1866.0,2.0,64,UFS 2.1,No,2.0,4000,18.0,Li-Po,No,0,0,1,85.0,489.0,756.0,255.0,114.0,48.0,Optical,Dual LED,Digital,No,Up to 30FPS,Up to 60FPS,124.0, - Bokeh mode - Pro mode - RAW support,2.2,3.4,0.8,No,20.0,1080p (Full HD) at 30 FPS,No,Yes,No,2,Nano,Standby,No,No,No,Mono,Yes,Yes,No,Mid-range,1909,290.0,0,,95.1,245.0,3.6,18.0,15.0,38.6,99.0,5.0,875.0,6073.0,5551.0,15489.0,7019.0,9143.0,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
Xiaomi,1178353,311765,436243,211003,219342,AMOLED,6.67,1080,2400,395,120,0,500.0,1,480.0, - DCI-P3 - Always-On Display - DC Dimming,162.5,76.7,8.5,210.0,No,Glass,Metal,"Yes, in-button",6.0,Samsung,4.0,1,1178353,8,LPDDR5,3200.0,4.0,128,UFS 3.1,No,2.0,4700,120.0,Li-Ion,No,0,0,1,17.0,413.0,678.0,265.0,73.0,64.0,Digital,Dual LED,Digital,No,Up to 60FPS,Up to 60FPS,120.0, - Bokeh mode - Pro mode,2.4,2.0,0.8,No,20.0,1080p (Full HD) at 60 FPS,No,Depends on the region,Yes,2,Nano,Standby,No,No,Yes,Stereo,No,No,Yes,Flagship,874,500.0,1,800.0,98.7,121.0,1.0,26.0,20.0,40.7,50.0,55.0,9325.0,11620.0,7501.0,29202.0,9858.0,14797.0,Vapor chamber,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
Huawei,1237186,347330,479118,189225,221513,OLED,6.74,1212,2616,428,120,1,550.0,1,300.0, - DCI-P3 - Always-On Display - DC Dimming,162.1,75.5,8.5,209.0,IP68,Glass,Metal,"Yes, in-display",6.0,TSMC,4.0,1,1237186,8,LPDDR5,3200.0,4.0,256,UFS 3.1,Nano Memory,,4700,66.0,Li-Po,No,1,1,1,41.0,395.0,792.0,303.0,84.0,50.0,Digital,Dual LED,Digital,No,Up to 60FPS,Up to 60FPS,120.0, - Bokeh mode - Pro mode - RAW support,2.2,2.0,0.7,Phase autofocus,13.0,2160p (4K) at 60 FPS,Yes,Yes,Yes,2,Nano,Standby,No,Yes,No,Stereo,No,No,No,Flagship,721,1199.0,1,1000.0,99.8,119.0,1.0,13.0,20.0,46.9,39.0,61.0,10269.0,,,,,,Vapor chamber,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Realme,535536,177132,112841,106425,139138,AMOLED,6.7,1080,2412,394,120,0,500.0,1,360.0, - DCI-P3 - Always-On Display - DC Dimming,161.5,73.9,7.95,174.5,No,Plastic,Plastic,"Yes, in-display",,TSMC,6.0,1,535536,8,LPDDR4X,2133.0,2.0,128,UFS 2.2,No,,5000,67.0,Li-Po,No,0,0,1,41.0,568.0,867.0,359.0,129.0,108.0,Digital,LED,Digital,No,Up to 30FPS,Up to 60FPS,112.0, - Bokeh mode - Pro mode,2.5,3.1,1.0,No,16.0,1080p (Full HD) at 30 FPS,No,Yes,No,2,Nano,Standby,No,No,Yes,Stereo,No,No,No,Mid-range,660,379.0,1,800.0,,,,25.0,,,99.0,13.0,2280.0,11784.0,7058.0,37537.0,9123.0,20017.0,Vapor chamber,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
Xiaomi,387217,130988,90091,72615,93523,IPS LCD,6.67,1080,2400,395,60,0,628.0,1,,,166.0,77.0,8.8,210.0,No,Glass,Plastic,"Yes, in-button",,Samsung,8.0,1,387217,4,LPDDR4X,2133.0,2.0,64,UFS 2.1,MicroSD,2.0,5020,18.0,Li-Po,No,0,0,1,150.0,656.0,915.0,345.0,136.0,48.0,Digital,LED,Digital,No,Up to 30FPS,Up to 60FPS,119.0, - Bokeh mode - Pro mode,2.5,3.06,1.0,No,16.0,1080p (Full HD) at 30 FPS,No,No,Yes,2,Nano,Standby,No,No,No,Mono,Yes,Yes,No,Mid-range,1604,200.0,0,,114.9,,34.0,13.0,12.0,42.4,98.0,6.0,1041.0,5910.0,5421.0,16677.0,6952.0,9323.0,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
Huawei,578896,187221,137987,125280,128408,OLED,6.78,1200,2652,429,120,0,800.0,1,240.0, - DCI-P3 - Always-On Display - DC Dimming,164.24,74.35,7.88,188.0,No,Glass,Plastic,"Yes, in-display",,TSMC,6.0,1,578896,8,LPDDR4X,2133.0,2.0,256,UFS 3.1,No,,4500,100.0,Li-Po,No,0,1,1,23.0,409.0,679.0,292.0,100.0,50.0,Digital,LED,Digital,No,Up to 30FPS,Up to 60FPS,112.0, - Bokeh mode - Pro mode,2.4,2.8,0.61,No,60.0,2160p (4K) at 30 FPS,No,Yes,No,2,Nano,Standby,No,No,No,Stereo,No,No,,Mid-range,509,535.0,1,950.0,99.9,120.0,1.0,17.0,,,,,,,,,,,,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
Realme,807783,244570,218576,149157,195480,AMOLED,6.62,1080,2400,397,120,1,500.0,1,600.0, - DCI-P3 - Always-On Display - DC Dimming,162.9,75.8,8.6,200.0,IPX5,Glass,Plastic,"Yes, in-display",4.0,TSMC,7.0,1,807783,6,LPDDR4X,2133.0,2.0,128,UFS 3.1,No,2.0,5000,65.0,Li-Po,No,0,0,1,32.0,545.0,765.0,334.0,113.0,64.0,Digital,Dual LED,Digital,No,Up to 60FPS,Up to 60FPS,119.0, - Bokeh mode - Pro mode,2.5,3.13,1.0,No,16.0,1080p (Full HD) at 30 FPS,No,Yes,No,2,Nano,Standby,No,No,Yes,Stereo,No,No,Yes,Flagship,1086,390.0,0,1300.0,98.1,531.0,6.0,26.0,20.0,47.1,99.0,25.0,4247.0,,,,,,Vapor chamber,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
Xiaomi,398133,129962,96729,63272,108170,IPS LCD,6.67,1080,2400,395,120,0,450.0,1,240.0,,165.3,76.8,9.4,215.0,IP53,Plastic,Metal,"Yes, in-button",,Samsung,8.0,1,398133,6,LPDDR4X,1866.0,2.0,64,UFS 2.1,MicroSD,2.0,5160,33.0,Li-Po,No,0,0,1,75.0,596.0,839.0,335.0,116.0,64.0,Digital,Dual LED,Digital,No,Up to 30FPS,Up to 60FPS,119.0, - Bokeh mode - Pro mode,2.2,3.4,0.8,No,20.0,1080p (Full HD) at 30 FPS,No,Yes,Yes,2,Nano,Standby,No,Yes,No,Stereo,Yes,Yes,Yes,Mid-range,1451,245.0,0,,99.7,2358.0,35.4,,15.0,42.6,99.0,6.0,1108.0,6916.0,6007.0,16877.0,7600.0,10043.0,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
Tecno,400284,130933,52553,115339,101459,AMOLED,6.66,1080,2460,403,90,0,450.0,0,,,164.79,77.0,9.19,211.0,No,Plastic,Plastic,"Yes, in-button",,TSMC,6.0,1,400284,8,LPDDR4X,2133.0,2.0,256,UFS 2.2,MicroSD,,6000,45.0,Li-Ion,No,0,1,1,,,,,,50.0,Digital,Dual LED,Digital,No,No,Up to 60FPS,, - Bokeh mode,2.4,,,No,8.0,1080p (Full HD) at 30 FPS,No,Yes,No,2,Nano,Standby,No,No,No,Stereo,Yes,Yes,No,Mid-range,691,265.0,1,,,,,,13.0,,99.0,7.0,1254.0,8030.0,6274.0,24303.0,6839.0,13149.0,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
Nokia,153069,56144,21573,41952,33393,IPS LCD,6.52,720,1600,269,60,0,480.0,0,,,164.9,76.0,9.2,197.0,No,Plastic,Plastic,"Yes, in-button",,TSMC,12.0,0,153069,4,LPDDR4X,1833.0,2.0,64,eMMC 5.1,MicroSD,2.0,5050,10.0,Li-Ion,No,0,0,0,220.0,,,,,48.0,Digital,LED,Digital,No,No,Up to 30FPS,, - Bokeh mode - Pro mode,1.8,2.0,0.8,No,8.0,1080p (Full HD) at 30 FPS,No,Yes,No,2,Nano,Standby,No,No,No,Mono,Yes,Yes,No,Mid-range,1209,200.0,0,,93.6,2500000.0,36.5,,7.0,,,,,,,,,,,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
Xiaomi,658119,193964,220000,113151,131004,AMOLED,6.39,1080,2340,403,60,0,600.0,1,, - Always-On Display - DC Dimming,157.5,74.6,7.6,173.0,No,Glass,Metal,"Yes, in-display",2.0,TSMC,7.0,1,658119,6,LPDDR4X,2133.0,2.0,128,UFS 2.1,No,2.0,3300,27.0,Li-Po,No,1,0,1,90.0,368.0,697.0,247.0,83.0,48.0,Optical,Dual LED,Digital,No,Up to 60FPS,Up to 60FPS,117.0, - Bokeh mode - Pro mode - RAW support,2.0,3.0,0.9,No,20.0,1080p (Full HD) at 30 FPS,No,Yes,Yes,2,Nano,Standby,No,No,No,Mono,No,No,No,Flagship,1970,460.0,0,,95.4,245.0,4.2,18.0,20.0,35.6,91.0,18.0,3100.0,7071.0,6713.0,26307.0,7934.0,14667.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
Samsung,719588,203367,218526,133139,164556,Dynamic AMOLED,6.9,1440,3200,511,120,0,800.0,1,, - DCI-P3 - Always-On Display,166.9,76.0,8.8,220.0,IP68,Glass,Metal,"Yes, in-display",2.0,Samsung,7.0,1,719588,12,LPDDR5,3200.0,2.0,128,UFS 3.0,MicroSD,3.0,5000,45.0,Li-Ion,No,1,1,1,80.0,387.0,683.0,263.0,91.0,108.0,Optical,LED,Digital,Up to 24FPS,Up to 60FPS,Up to 60FPS,120.0, - Bokeh mode - Pro mode - RAW support,2.2,2.65,0.7,Phase autofocus (Dual Pixel),40.0,2160p (4K) at 60 FPS,No,Yes,No,2,Nano,Standby,Yes,Yes,Yes,Stereo,No,No,Yes,Flagship,1635,1400.0,0,,99.2,240.0,6.2,26.0,22.0,38.6,53.0,25.0,4319.0,8732.0,6052.0,31392.0,8707.0,12980.0,Vapor chamber,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
Xiaomi,208387,83938,25798,46030,52621,IPS LCD,5.99,1080,2160,403,60,0,450.0,0,,,158.5,75.4,8.0,180.0,No,Metal,Metal,"Yes, rear",,Samsung,14.0,1,208387,3,LPDDR4X,1333.0,2.0,32,eMMC 5.1,MicroSD,2.0,4000,18.0,Li-Po,No,0,0,1,130.0,480.0,701.0,287.0,84.0,12.0,Digital,Dual LED,Digital,No,No,Up to 60FPS,, - Bokeh mode,2.0,2.9,1.4,No,5.0,1080p (Full HD) at 30 FPS,No,No,Yes,2,Nano,Active,No,Yes,No,Mono,Yes,Yes,No,Mid-range,2394,190.0,0,,99.7,2358.0,38.0,,12.0,,,,,4925.0,5093.0,11421.0,4909.0,6019.0,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
Honor,293283,101579,38555,87651,65498,IPS LCD,6.74,720,1600,260,90,0,450.0,0,,,167.59,77.19,8.62,198.0,No,Plastic,Plastic,"Yes, in-button",,TSMC,6.0,1,293283,4,LPDDR4X,2133.0,2.0,128,eMMC 5.1,MicroSD,,5000,22.5,Li-Po,No,0,0,1,150.0,,,,,48.0,Digital,LED,Digital,No,No,Up to 30FPS,, - Bokeh mode - Pro mode,2.0,,0.8,No,8.0,1080p (Full HD) at 30 FPS,No,Yes,No,2,Nano,Standby,No,Yes,No,Mono,Yes,No,No,Mid-range,874,200.0,1,,,,,,12.0,,,,,,,,,,,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
Samsung,1070306,291874,362777,191619,224036,Dynamic AMOLED,6.7,1080,2640,425,120,1,500.0,1,, - DCI-P3 - Always-On Display,165.2,71.9,6.9,187.0,IPX8,Glass,Metal,"Yes, in-button",6.0,TSMC,4.0,1,1070306,8,LPDDR5,3200.0,4.0,128,UFS 3.1,No,2.0,3700,25.0,Li-Po,No,1,1,1,75.0,372.0,574.0,245.0,86.0,12.0,Digital,LED,Digital,No,Up to 60FPS,Up to 60FPS,123.0, - Bokeh mode - Pro mode,2.4,3.2,1.22,No,10.0,2160p (4K) at 60 FPS,No,Yes,No,1,Nano,,Yes,No,Yes,Stereo,No,No,Yes,Flagship,752,999.0,0,1200.0,97.0,120.0,1.0,26.0,20.0,36.8,46.0,51.0,8662.0,11402.0,7491.0,31661.0,11021.0,16934.0,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
Samsung,323135,111824,66059,60319,84933,Super AMOLED,6.7,1080,2400,393,60,0,650.0,0,, - Always-On Display,163.9,76.3,9.5,213.0,No,Plastic,Plastic,"Yes, in-button",,Samsung,8.0,1,323135,6,LPDDR4X,1866.0,2.0,128,UFS 2.1,MicroSD,2.0,7000,25.0,Li-Ion,No,0,1,1,107.0,723.0,1002.0,383.0,171.0,64.0,Digital,LED,Digital,No,Up to 30FPS,Up to 30FPS,123.0, - Bokeh mode - Pro mode,2.2,2.8,0.8,No,32.0,2160p (4K) at 60 FPS,No,Yes,No,2,Nano,Standby,No,No,No,Mono,Yes,Yes,Yes,Mid-range,1451,340.0,0,,97.6,255.0,8.0,26.0,15.0,48.2,97.0,4.0,738.0,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
Honor,591363,189613,158736,121205,121809,IPS LCD,6.26,1080,2340,412,60,0,500.0,0,,,154.6,73.9,8.4,182.0,No,Glass,Metal,"Yes, in-button",,TSMC,7.0,1,591363,8,LPDDR4X,2133.0,2.0,256,UFS 2.1,No,1.0,4000,22.5,Li-Po,No,0,0,1,85.0,497.0,741.0,304.0,103.0,48.0,Optical,LED,Digital,No,Up to 30FPS,Up to 60FPS,117.0, - Bokeh mode - Pro mode - RAW support,2.0,3.1,0.8,No,32.0,1080p (Full HD) at 30 FPS,No,Yes,No,2,Nano,Standby,No,No,No,Mono,No,No,No,Flagship,1909,600.0,0,,100.0,333.0,33.0,26.0,21.0,46.7,47.0,14.0,2481.0,6825.0,5742.0,15077.0,8059.0,10797.0,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
Motorola,157203,56155,11408,43893,45747,TFT LCD,6.5,720,1600,269,60,0,550.0,0,,,167.4,75.6,8.8,188.0,IP52,Plastic,Plastic,"Yes, rear",,TSMC,12.0,0,157203,3,LPDDR4X,1800.0,2.0,32,eMMC 5.1,MicroSD,,4000,10.0,Li-Ion,No,0,0,0,150.0,,,,,13.0,Digital,LED,Digital,No,No,Up to 30FPS,, - Bokeh mode - Pro mode,2.4,,1.12,No,5.0,1080p (Full HD) at 30 FPS,No,No,No,1,Nano,,No,No,No,Mono,Yes,Yes,No,Mid-range,1056,160.0,1,,,,,,4.0,,,,,,,,,,,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
Samsung,765381,207699,247886,144292,165504,Dynamic AMOLED,6.9,1440,3088,496,120,1,600.0,1,, - DCI-P3 - Always-On Display,164.8,77.2,8.1,208.0,IP68,Glass,Metal,"Yes, in-display",2.0,Samsung,7.0,1,765381,8,LPDDR5,2750.0,,256,UFS 3.1,MicroSD,3.0,4500,25.0,Li-Po,No,1,1,1,80.0,447.0,753.0,316.0,81.0,108.0,Optical,LED,Digital,Up to 24FPS,Up to 60FPS,Up to 240FPS,120.0, - Bokeh mode - Pro mode - RAW support,2.2,3.2,1.22,Phase autofocus (Dual Pixel),10.0,2160p (4K) at 60 FPS,No,Yes,No,2,Nano,Standby,Yes,Yes,Yes,Stereo,No,Yes,Yes,Flagship,1482,1299.0,0,,96.9,245.0,6.0,26.0,20.0,37.3,49.0,25.0,4250.0,8881.0,6898.0,29390.0,8681.0,11744.0,Vapor chamber,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
Honor,866863,256787,272332,177778,159966,OLED,6.7,1200,2664,436,120,0,2600.0,1,, - DCI-P3 - Always-On Display - DC Dimming,161.9,74.1,7.8,183.0,,,,"Yes, in-display",4.0,TSMC,4.0,1,866863,12,LPDDR5X,4266.0,4.0,256,UFS 3.1,No,,5000,100.0,Li-Po,No,0,1,1,32.0,,,,,50.0,Digital,LED,Digital,No,Up to 30FPS,Up to 60FPS,112.0, - Bokeh mode - Pro mode,2.1,2.51,0.64,No,50.0,2160p (4K) at 30 FPS,No,Yes,No,2,Nano,Standby,No,No,Yes,Stereo,No,No,,Mid-range,295,400.0,1,,,,,27.0,20.0,,,,,12801.0,7116.0,23725.0,11034.0,12439.0,Vapor chamber,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
Huawei,584585,189588,158432,111846,124719,OLED,6.1,1080,2340,422,60,0,,1,, - DCI-P3 - Always-On Display - DC Dimming,149.1,71.4,7.6,165.0,IP53,Glass,Metal,"Yes, in-display",,TSMC,7.0,1,584585,6,LPDDR4X,2133.0,2.0,128,UFS 2.1,Nano Memory,1.0,3650,22.5,Li-Po,No,0,0,1,70.0,455.0,750.0,276.0,85.0,40.0,Optical,Dual LED,Digital,No,Up to 30FPS,Up to 60FPS,120.0, - Bokeh mode - Pro mode - RAW support,2.0,2.8,0.8,No,32.0,1080p (Full HD) at 30 FPS,No,Yes,No,2,Nano,Standby,No,Yes,No,Mono,Yes,No,Yes,Flagship,1940,800.0,0,,99.6,240.0,3.6,26.0,21.0,,,,,,,,,,Vapor chamber,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
OnePlus,835028,252341,204010,190195,188482,OLED,6.7,1080,2412,394,120,0,500.0,1,1000.0, - DCI-P3 - Always-On Display,163.3,75.5,8.2,186.0,No,Plastic,Plastic,"Yes, in-display",4.0,TSMC,5.0,1,835028,8,LPDDR5,3200.0,4.0,128,UFS 3.1,No,2.0,4500,150.0,Li-Po,No,0,0,1,18.0,,,,,50.0,Digital,Dual LED,Digital,No,Up to 30FPS,Up to 60FPS,120.0, - Bokeh mode - Pro mode,2.4,3.09,1.0,No,16.0,1080p (Full HD) at 30 FPS,No,Yes,No,2,Nano,Standby,No,No,Yes,Stereo,No,No,,Flagship,874,390.0,1,950.0,,,,26.0,,,98.0,33.0,5594.0,7947.0,5230.0,18615.0,8423.0,17563.0,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
Infinix,242317,79099,23084,82550,57584,IPS LCD,6.56,720,1612,269,90,0,500.0,0,180.0,,164.0,75.75,8.4,191.0,No,Plastic,Plastic,"Yes, in-button",1.0,TSMC,12.0,0,242317,4,LPDDR4X,1600.0,2.0,64,UFS 2.1,MicroSD,,5000,18.0,Li-Po,No,0,0,1,160.0,,,,,13.0,Digital,Dual LED,Digital,No,No,Up to 30FPS,, - Bokeh mode,2.0,,,No,8.0,1080p (Full HD) at 30 FPS,No,Depends on the region,No,2,Nano,Standby,No,No,No,Mono,Yes,Yes,No,Budget,540,110.0,1,,,,,,,,,,,7583.0,4249.0,11761.0,5297.0,8425.0,,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
Vivo,1534769,385633,540758,326032,282346,AMOLED,6.78,1260,2800,453,144,0,600.0,1,300.0, - DCI-P3 - Always-On Display - DC Dimming,164.7,77.0,8.5,192.0,No,Glass,Plastic,"Yes, in-display",8.0,TSMC,4.0,1,1534769,16,LPDDR5X,,4.0,256,UFS 4.0,No,,5000,120.0,Li-Po,No,0,0,1,22.0,,,,,50.0,Digital,LED,Digital,Up to 30FPS,Up to 60FPS,Up to 60FPS,114.0, - Bokeh mode - Pro mode,2.5,3.1,1.0,No,16.0,1080p (Full HD) at 60 FPS,No,Yes,Yes,2,Nano,Standby,No,No,Yes,Stereo,No,No,,Flagship,479,450.0,1,1300.0,,,,,,,69.0,75.0,12555.0,,,,,,Vapor chamber,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
OnePlus,786855,237679,227952,142387,178837,AMOLED,6.43,1080,2400,410,90,0,450.0,1,, - DCI-P3 - Always-On Display,159.1,73.2,8.2,190.0,No,Glass,Plastic,"Yes, in-display",,TSMC,6.0,1,786855,8,LPDDR4X,2133.0,2.0,128,UFS 3.1,No,2.0,4500,80.0,Li-Po,No,0,0,1,32.0,496.0,780.0,331.0,94.0,50.0,Digital,Dual LED,Digital,No,Up to 30FPS,Up to 60FPS,120.0, - Bokeh mode - Pro mode,2.4,2.8,0.8,No,32.0,1080p (Full HD) at 30 FPS,No,Yes,No,2,Nano,Standby,No,No,Yes,Stereo,No,No,Yes,Mid-range,844,400.0,1,800.0,98.3,193.0,15.0,24.0,18.0,47.9,99.0,27.0,4610.0,7532.0,5354.0,18973.0,9051.0,13415.0,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
