Brand,Total Score,CPU,GPU,Memory,UX,Type,Display Size,Pixels_X,Pixels_Y,PPI,Refresh rate,Adaptive refresh rate,Max rated brightness,HDR support,Width (mm),Thickness (mm),Weight (gr),Waterproof,Frame material,Fingerprint scanner,L3 cache (mb),Lithography process (nm),RAM size (GB),Memory type,Channels,Storage size (GB),Storage type,Memory card,Max charge power,Wireless charging,Reverse charging,Matrix (megapixels),Zoom,8K video recording,4K video recording,1080p video recording,Aperture,Sensor size,Pixel size (micron),Front camera megapixels,eSIM support*,5G support,Headphone audio jack,FM radio,Dolby Atmos,Category,Phone age in days,Launch price category,Video resolution_p,Video resolution_FPS,Bokeh mode,Pro mode,RAW support,Autofocus_Phase autofocus,LTE Cat*,Gyroscope,Compass,Barometer,Hall,effect sensor,Advanced cooling_Active fan,Advanced cooling_Vapor chamber,Advanced cooling_nan,Always-On Display,DC Dimming,DCI-P3
2,1543465,393276,602835,261843,285511,0,6.36,1080,2400,414,120,1,1900,1,71.5,7.98,189.0,8,2,1,8,4,8,5,4,128,7,0,67,1,1,50,0,1,2,2,2.0,3.14,0.7,32.0,1,1,0,0,1,2,630,3.0,2,1,1,1,0,0,20,1,1,1,0,0,0,1,0,1,1,1
14,1143789,340419,348187,201292,253891,1,6.74,1240,2772,451,144,1,600,1,75.75,8.95,193.1,0,0,1,8,4,8,5,4,256,6,0,100,0,0,64,0,0,1,2,2.5,3.09,1.0,16.0,0,1,0,0,1,1,509,1.0,2,1,1,1,0,0,20,1,1,0,0,0,0,1,0,1,1,1
2,599824,193310,165228,107520,133766,0,6.39,1080,2340,403,60,0,600,1,74.3,8.8,191.0,0,2,1,2,7,6,3,2,128,3,0,27,0,0,48,1,0,2,2,2.2,3.4,0.8,20.0,0,0,1,1,0,2,1909,1.0,2,1,1,1,1,0,20,1,1,0,0,0,0,0,1,1,0,0
4,412091,124245,82760,92221,112865,0,6.67,1080,2400,395,120,0,800,0,73.9,7.9,175.0,0,1,1,0,6,6,3,2,128,4,0,40,0,0,64,0,0,0,1,2.5,3.00395390070922,0.8,16.0,0,1,0,0,0,1,599,1.0,2,1,1,1,0,0,18,1,1,0,0,0,0,0,1,1,1,1
5,186215,64608,19413,49245,52949,3,6.4,720,1560,268,60,0,500,0,74.7,7.8,169.0,0,1,1,0,14,3,3,2,32,1,1,15,0,0,25,0,0,0,1,2.0,3.1,1.0,16.0,0,1,1,1,1,1,1817,,2,1,1,1,0,0,10,1,1,0,0,0,0,0,1,0,0,0
17,771491,227609,209167,157166,177549,0,6.7,1080,2412,395,120,1,700,1,76.3,8.5,190.0,4,1,1,0,4,8,3,2,128,4,0,50,0,0,50,0,0,1,2,2.2,2.76,0.64,50.0,0,1,0,0,0,1,21,1.0,4,1,1,1,1,0,20,1,1,0,0,0,0,1,0,1,1,1
3,262388,83167,40636,64727,73858,2,6.5,720,1600,270,90,0,400,0,74.66,8.19,184.25,1,1,2,0,12,4,3,2,64,1,1,30,0,0,50,0,0,0,1,2.5,3.00395390070922,1.0,16.0,0,0,1,1,1,1,599,0.0,2,1,1,1,1,0,7,1,0,0,0,0,0,0,1,0,0,0
6,481956,155713,86446,115682,124115,0,6.67,1080,2400,394,120,1,2100,0,75.6,8.1,191.0,4,1,1,0,6,8,3,2,256,4,1,80,0,1,50,0,0,0,1,2.4,2.0,1.0,16.0,0,1,1,0,1,1,52,1.0,2,1,1,1,0,0,18,1,1,0,0,0,0,0,1,1,0,1
5,1539054,384369,603059,276564,275062,5,6.6,1080,2340,393,120,1,800,1,76.2,7.6,195.0,8,2,1,8,4,8,5,4,256,7,0,45,1,1,50,0,2,2,3,2.2,3.24,1.12,12.0,1,1,0,0,1,2,568,3.0,4,2,1,1,1,1,20,1,1,1,1,1,0,1,0,1,0,1
6,422937,135260,61988,115742,109947,8,6.72,1080,2400,391,60,0,500,0,76.0,7.99,193.0,0,1,2,2,7,4,3,2,128,4,0,33,0,0,50,0,0,0,1,2.0,4.0,1.12,8.0,0,1,1,0,0,0,234,0.0,2,1,1,1,0,0,20,1,1,0,0,0,0,0,1,0,0,0
14,579994,173736,116421,134844,154993,0,6.7,1080,2412,394,120,0,500,1,73.9,8.2,183.0,0,1,1,0,6,8,3,2,256,6,0,100,0,0,200,0,0,1,2,2.5,2.74,0.8,32.0,0,1,0,0,1,1,479,1.0,2,1,1,1,0,0,20,1,1,0,0,0,0,1,0,1,1,1
2,736944,226237,182425,159360,168922,0,6.67,1220,2712,446,120,1,1800,1,74.2,8.9,204.5,8,1,1,4,4,8,4,4,256,6,0,120,0,0,200,0,0,1,2,2.6,3.06,1.0,16.0,1,1,0,0,1,1,234,1.0,2,2,1,1,0,0,20,1,1,0,0,0,0,1,0,1,1,1
4,445085,146281,83486,96932,118386,0,6.67,1080,2400,395,120,0,800,0,73.9,7.9,175.0,0,1,1,0,6,6,3,2,128,4,0,40,0,0,64,0,0,0,1,2.5,3.00395390070922,0.9680385288966724,16.0,0,1,0,0,1,1,568,1.0,2,1,1,1,0,0,18,1,1,0,0,0,0,0,1,1,1,1
5,175983,61138,16754,48223,49868,7,6.6,1080,2408,400,60,0,450,0,76.9,8.4,192.0,0,1,2,0,8,4,3,2,64,1,1,15,0,0,50,0,0,0,1,2.2,5.0,1.12,8.0,0,0,1,1,1,0,813,0.0,2,1,1,1,0,0,7,0,1,0,0,0,0,0,1,0,0,0
15,1524799,378774,608654,296031,241340,3,5.92,1080,2400,445,144,0,1100,1,68.1,9.4,172.0,8,2,2,8,4,8,5,4,128,7,0,30,1,1,50,0,1,3,2,2.5,3.2,0.7,32.0,0,1,1,0,0,2,418,3.0,2,1,1,1,0,0,20,1,1,0,0,0,0,0,1,1,1,1
9,928202,248635,304974,168634,205959,0,6.55,1080,2400,402,120,1,500,1,72.6,8.7,196.0,8,2,1,4,5,8,4,4,128,6,0,80,1,1,50,0,0,2,2,2.4,2.74,0.8,32.0,1,1,0,0,1,2,905,3.0,2,1,1,1,1,0,20,1,1,0,0,0,0,0,1,1,0,1
5,470477,156698,105189,87071,121519,3,6.5,1080,2400,405,120,1,500,1,74.8,8.1,189.0,7,1,1,0,5,6,3,2,128,4,1,25,0,0,64,0,0,1,2,2.2,2.8,0.8,32.0,0,1,0,0,1,1,874,1.0,4,1,1,1,0,0,18,1,1,0,1,1,0,0,1,1,0,1
2,399096,129223,78383,78622,112868,0,6.67,1080,2400,395,120,0,700,1,76.1,8.12,201.8,3,1,2,0,8,6,3,2,128,4,1,67,0,0,108,0,0,1,2,2.4,3.13,1.0,16.0,0,0,1,1,1,1,509,1.0,2,1,1,1,0,0,18,1,1,0,0,0,0,0,1,1,0,1
15,1284953,347381,441438,231406,264728,0,6.78,1080,2448,395,165,0,800,1,77.0,10.4,239.0,0,2,1,8,4,12,5,4,256,6,0,65,0,1,50,0,1,2,2,2.4,1.56,1.0,12.0,0,1,1,0,1,2,691,4.0,2,1,1,1,0,0,20,1,1,0,0,0,0,1,0,1,1,1
2,1399146,358682,478125,300340,261999,0,6.55,1236,2750,460,120,1,3000,1,72.77,7.45,179.3,0,2,1,8,4,8,5,4,256,7,0,67,0,0,50,1,0,2,2,2.0,2.8,0.8,32.0,0,1,0,0,1,2,82,2.0,4,1,1,1,0,1,20,1,1,0,0,0,0,1,0,1,1,1
3,152974,57859,18015,39028,38072,6,6.5,720,1600,268,90,0,460,0,74.94,8.49,185.0,1,1,2,0,12,4,3,2,64,1,1,15,0,0,50,0,0,0,1,2.5,4.0,1.75,16.0,0,0,1,0,0,1,905,0.0,2,1,1,1,0,0,7,1,1,0,0,0,0,0,1,0,0,0
5,131372,50286,6591,34538,39957,7,6.5,720,1600,270,60,0,500,0,75.9,9.1,206.0,0,1,0,0,28,2,1,1,32,1,1,47,0,0,13,0,0,0,1,2.0,3.00395390070922,1.12,5.0,0,0,1,1,1,0,1329,0.0,2,1,1,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0
5,1582132,390737,616030,305189,270176,5,6.7,1080,2640,425,120,1,500,1,71.9,6.9,187.0,0,2,2,8,4,8,4,4,256,7,0,25,1,1,12,0,0,2,2,2.2,3.0,1.22,10.0,1,1,0,0,1,2,387,3.0,4,2,1,1,0,0,20,1,1,1,1,1,0,1,0,1,0,1
3,426241,132393,65485,112845,115518,4,6.6,1080,2400,402,120,0,500,0,74.4,7.9,166.0,2,1,1,0,6,6,3,2,128,3,1,33,0,0,108,0,0,0,2,2.5,5.0,1.0,16.0,0,1,1,1,1,1,691,1.0,2,1,1,1,0,0,13,1,1,0,0,0,0,0,1,1,0,1
14,400185,121827,95212,80801,102345,3,6.4,1080,2400,411,60,0,430,1,73.9,8.0,177.0,0,1,1,0,12,4,3,2,64,3,1,30,0,1,64,0,0,1,2,2.5,3.0,1.0,16.0,0,0,1,0,0,1,1270,0.0,2,3,1,1,0,0,12,1,1,0,0,0,0,0,1,1,1,0
2,380097,132778,61339,87750,98230,2,6.53,1080,2340,405,90,0,500,0,75.3,8.9,190.0,0,1,2,2,7,4,3,2,64,4,1,18,0,0,48,0,0,0,1,2.0,4.0,1.12,8.0,0,1,1,1,0,1,1239,0.0,2,1,1,1,0,0,18,1,1,0,0,0,0,0,1,0,0,0
13,333924,108429,48773,112870,63852,2,6.95,1080,2376,376,90,0,500,0,79.9,8.9,214.0,1,1,2,0,6,6,3,2,128,4,1,22,0,0,50,0,0,0,1,2.0,3.00395390070922,0.9680385288966724,8.0,0,0,0,0,0,1,448,1.0,2,1,1,1,0,0,20,1,1,0,0,0,0,0,1,0,0,1
5,306996,98433,40363,89624,78586,7,6.7,1080,2400,393,90,0,450,0,77.8,8.8,194.0,0,1,2,0,6,4,3,2,64,1,1,25,0,0,50,0,0,0,2,2.0,3.00395390070922,0.9680385288966724,13.0,0,0,1,0,1,0,326,0.0,2,1,1,1,0,0,13,0,0,0,0,0,0,0,1,0,0,0
13,741333,200677,236558,148683,155415,1,6.6,1228,2700,450,120,0,550,1,72.8,8.5,195.0,8,2,1,4,5,8,4,2,128,6,2,66,1,1,50,0,0,2,2,2.4,3.06,1.12,13.0,0,0,0,0,1,2,1117,3.0,4,2,1,1,1,0,20,1,1,1,0,0,0,0,1,1,1,1
13,823241,274900,150777,231760,165804,1,6.76,1224,2776,449,120,1,500,1,74.96,7.68,198.0,0,1,1,0,7,8,4,4,512,6,0,100,0,1,50,0,0,1,2,2.4,2.8,0.61,60.0,0,1,0,0,0,1,234,3.0,4,1,1,1,0,0,20,1,1,0,0,0,0,0,1,1,1,1
13,701953,214145,214152,136663,136993,1,6.1,1080,2340,422,60,0,500,1,71.1,8.5,175.0,3,2,1,0,7,8,3,2,128,5,2,22,0,1,50,1,0,2,2,2.0,2.8,0.8,32.0,1,1,0,0,1,2,1635,2.0,4,2,1,1,1,1,21,1,1,1,1,1,0,0,1,1,1,1
14,285301,89617,48528,80274,66882,2,6.74,1080,2400,390,90,0,560,0,76.7,7.49,182.0,0,1,2,0,12,4,3,2,64,1,1,33,0,0,50,0,0,0,1,2.0,3.00395390070922,0.9680385288966724,8.0,0,1,1,0,0,0,479,0.0,1,1,1,1,0,0,7,1,1,0,0,0,0,0,1,0,0,1
5,1808358,439226,699498,366148,303486,5,6.7,1440,3120,513,120,1,2600,1,75.9,7.7,196.0,8,2,1,8,4,12,5,4,256,7,0,45,1,1,50,1,2,2,2,2.2,3.2,1.12,12.0,1,1,0,0,1,2,234,3.0,4,2,1,1,1,1,20,1,1,1,1,1,0,1,0,1,0,1
5,1503165,374434,629926,220495,278310,5,6.1,1080,2340,425,120,1,800,1,70.9,7.6,168.0,8,2,1,8,4,8,5,4,128,7,0,25,1,1,50,0,2,2,3,2.2,3.24,1.12,12.0,1,1,0,0,1,2,568,3.0,4,2,1,1,1,0,20,1,1,1,1,1,0,1,0,1,0,1
2,600986,202613,115546,136116,146711,0,6.67,1220,2712,446,120,1,1800,1,74.24,7.98,187.0,4,1,1,0,4,8,3,2,128,4,0,67,0,0,200,0,0,1,2,2.6,3.06,1.0,16.0,1,1,1,0,1,1,234,1.0,2,2,1,1,0,0,18,1,1,0,0,0,0,0,1,1,1,1
2,1234229,331276,485862,182917,234174,0,6.73,1440,3200,521,120,1,1000,1,74.92,9.06,225.0,8,2,1,6,4,8,4,4,256,6,0,67,1,1,50,0,1,2,2,2.5,3.2,0.7,32.0,0,1,0,0,1,2,783,3.0,2,1,1,1,1,0,20,1,1,0,0,0,0,1,0,1,1,1
2,628792,192750,172700,113522,149820,0,6.55,1080,2400,402,90,0,500,1,75.7,6.8,159.0,3,1,2,0,5,6,3,2,128,4,1,33,0,0,64,0,0,1,2,2.2,3.4,0.8,20.0,0,1,0,0,0,1,1239,1.0,2,2,1,1,0,0,20,1,1,0,0,0,0,0,1,1,0,0
5,1075398,294693,386444,169798,224463,5,6.8,1440,3088,500,120,1,830,1,77.9,8.9,228.0,8,2,1,6,4,8,4,4,128,6,0,45,1,1,108,0,1,2,2,2.2,2.82,0.9680385288966724,40.0,1,1,0,0,1,2,933,4.0,4,2,1,1,1,1,20,1,1,1,1,1,0,1,0,1,0,1
2,435037,147952,80281,92531,114273,0,6.67,1080,2400,395,120,0,700,0,76.1,8.12,205.0,3,1,2,0,6,6,3,2,128,4,1,67,0,0,108,0,0,0,1,2.5,3.06,1.0,16.0,0,1,1,1,1,1,905,0.0,2,1,1,1,0,0,18,1,1,0,0,0,0,0,1,1,0,1
5,248974,61439,45211,74292,68032,3,6.5,1080,2400,405,60,0,400,0,73.6,7.9,172.0,0,1,1,0,10,4,3,2,64,2,1,15,0,0,48,0,0,1,1,2.2,2.8,0.8,32.0,0,0,1,1,1,1,1726,1.0,4,1,1,1,0,0,12,1,1,0,0,0,0,0,1,1,0,0
8,2140227,481550,908955,410846,338876,0,6.8,1116,2480,400,120,0,1500,0,76.4,8.8,246.0,8,2,1,12,4,8,5,4,256,7,0,80,0,0,50,1,2,3,3,1.8,1.55,0.9680385288966724,12.0,0,1,0,0,1,2,265,2.0,2,1,1,1,0,0,20,1,1,0,0,0,0,1,0,1,1,1
8,1529697,384073,592577,274819,278228,0,6.8,1116,2480,400,120,0,500,1,76.35,9.47,228.0,0,2,1,8,4,8,5,4,128,7,0,65,0,0,50,0,2,2,2,2.0,2.8,1.12,16.0,0,1,1,0,0,2,630,2.0,2,2,1,1,0,0,20,1,1,0,0,0,1,0,0,1,1,1
12,957800,277623,265097,190998,224082,0,6.78,1260,2800,453,120,0,1300,0,74.4,7.5,188.0,0,2,1,4,4,8,4,4,256,6,0,80,0,0,50,1,0,1,2,2.0,2.76,1.22,50.0,0,1,0,0,1,1,326,1.0,2,1,1,1,0,1,20,1,1,0,0,0,0,1,0,1,1,1
6,753639,237030,194865,138888,182856,0,6.55,1080,2400,402,120,0,760,1,74.1,8.4,188.0,0,2,1,4,7,8,3,2,128,6,0,65,0,0,48,0,0,2,2,2.0,3.06,1.0,16.0,0,1,0,0,1,2,1421,2.0,2,1,1,1,1,1,20,1,1,1,0,0,0,0,1,1,0,1
6,595132,188127,137430,129709,139866,0,6.55,1080,2400,402,90,0,1000,1,74.5,8.1,190.0,0,2,1,2,7,8,3,2,128,5,0,30,0,0,48,1,0,2,2,2.0,3.1,1.0,16.0,0,0,0,0,1,2,1817,2.0,2,1,1,1,1,0,16,1,1,0,0,0,0,0,1,1,1,1
2,432616,154904,49004,115786,112922,2,6.79,1080,2460,396,90,1,550,0,76.28,8.17,199.0,3,1,2,0,4,4,3,2,64,4,1,18,0,0,50,0,0,0,1,2.0,3.00395390070922,1.12,8.0,0,1,1,0,1,1,387,0.0,2,1,1,1,0,0,18,1,1,0,0,0,0,0,1,0,0,1
5,388109,133239,73877,76696,104297,3,6.5,1080,2400,407,90,0,400,1,75.1,8.4,189.0,7,1,1,0,8,4,3,2,128,3,1,25,0,0,64,0,0,1,2,2.2,2.8,0.8,32.0,0,0,1,1,1,1,1270,1.0,4,1,1,1,0,0,15,1,1,0,0,0,0,0,1,1,0,0
14,580770,197905,95172,145104,142589,0,6.7,1080,2412,394,120,0,950,0,74.02,8.35,184.0,5,0,1,0,4,8,3,2,128,6,0,45,0,0,50,0,0,1,2,2.4,3.0,1.0,16.0,0,1,0,0,1,1,143,1.0,2,1,1,1,0,0,18,1,1,0,0,0,0,0,1,1,1,1
6,1441869,381368,486801,305194,268497,0,6.74,1240,2772,451,120,1,2150,1,75.2,8.5,200.0,5,1,1,0,4,12,5,4,256,7,0,100,0,0,50,0,0,2,2,2.4,3.0,0.9680385288966724,16.0,0,1,0,0,1,1,234,1.0,2,2,1,1,0,0,18,1,1,0,0,0,0,1,0,1,1,1
2,131111,42168,17833,40327,30783,2,6.52,720,1600,269,60,0,400,0,76.8,9.1,192.0,0,1,0,0,12,2,3,2,32,1,1,10,0,0,8,0,0,0,1,2.2,3.00395390070922,0.9680385288966724,5.0,0,0,1,1,0,0,540,0.0,2,1,1,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0
2,358532,126833,64718,70990,95991,0,6.39,1080,2340,403,60,0,430,1,74.3,8.8,191.0,0,2,1,0,8,6,3,2,64,3,0,18,0,0,48,1,0,1,2,2.2,3.4,0.8,20.0,0,0,1,1,0,1,1909,1.0,2,1,1,1,1,0,15,1,1,0,0,0,0,0,1,1,0,0
2,1178353,311765,436243,211003,219342,0,6.67,1080,2400,395,120,0,500,1,76.7,8.5,210.0,0,2,2,6,4,8,4,4,128,6,0,120,0,0,64,0,0,2,2,2.4,2.0,0.8,20.0,0,1,0,0,1,2,874,1.0,2,2,1,1,0,0,20,1,1,0,0,0,0,1,0,1,1,1
13,1237186,347330,479118,189225,221513,1,6.74,1212,2616,428,120,1,550,1,75.5,8.5,209.0,8,2,1,6,4,8,4,4,256,6,2,66,1,1,50,0,0,2,2,2.2,2.0,0.7,13.0,0,0,0,0,0,2,721,4.0,4,2,1,1,1,1,20,1,1,1,1,1,0,1,0,1,1,1
14,535536,177132,112841,106425,139138,0,6.7,1080,2412,394,120,0,500,1,73.9,7.95,174.5,0,1,1,0,6,8,3,2,128,4,0,67,0,0,108,0,0,1,2,2.5,3.1,1.0,16.0,0,1,0,0,0,1,660,1.0,2,1,1,1,0,0,20,1,1,0,0,0,0,1,0,1,1,1
2,387217,130988,90091,72615,93523,2,6.67,1080,2400,395,60,0,628,1,77.0,8.8,210.0,0,1,2,0,8,4,3,2,64,3,1,18,0,0,48,0,0,1,2,2.5,3.06,1.0,16.0,0,0,1,1,0,1,1604,0.0,2,1,1,1,0,0,12,1,1,0,0,0,0,0,1,0,0,0
13,578896,187221,137987,125280,128408,1,6.78,1200,2652,429,120,0,800,1,74.35,7.88,188.0,0,1,1,0,6,8,3,2,256,6,0,100,0,1,50,0,0,1,2,2.4,2.8,0.61,60.0,0,0,0,0,1,1,509,2.0,4,1,1,1,0,0,20,1,1,0,0,0,0,0,1,1,1,1
14,807783,244570,218576,149157,195480,0,6.62,1080,2400,397,120,1,500,1,75.8,8.6,200.0,0,1,1,4,7,6,3,2,128,6,0,65,0,0,64,0,0,2,2,2.5,3.13,1.0,16.0,0,1,0,0,1,2,1086,1.0,2,1,1,1,0,0,20,1,1,0,0,0,0,1,0,1,1,1
2,398133,129962,96729,63272,108170,2,6.67,1080,2400,395,120,0,450,1,76.8,9.4,215.0,3,2,2,0,8,6,3,2,64,3,1,33,0,0,64,0,0,1,2,2.2,3.4,0.8,20.0,0,0,1,1,1,1,1451,0.0,2,1,1,1,0,0,15,1,1,0,0,0,0,0,1,0,0,0
11,400284,130933,52553,115339,101459,0,6.66,1080,2460,403,90,0,450,0,77.0,9.19,211.0,0,1,2,0,6,8,3,2,256,4,1,45,0,1,50,0,0,0,2,2.4,3.00395390070922,0.9680385288966724,8.0,0,0,1,1,0,1,691,1.0,2,1,1,0,0,0,13,1,1,0,0,0,0,0,1,0,0,0
10,153069,56144,21573,41952,33393,2,6.52,720,1600,269,60,0,480,0,76.0,9.2,197.0,0,1,2,0,12,4,3,2,64,1,1,10,0,0,48,0,0,0,1,1.8,2.0,0.8,8.0,0,0,1,1,0,1,1209,0.0,2,1,1,1,0,0,7,1,0,0,0,0,0,0,1,0,0,0
2,658119,193964,220000,113151,131004,0,6.39,1080,2340,403,60,0,600,1,74.6,7.6,173.0,0,2,1,2,7,6,3,2,128,3,0,27,1,0,48,1,0,2,2,2.0,3.0,0.9,20.0,0,0,0,0,0,2,1970,1.0,2,1,1,1,1,0,20,1,1,1,1,1,0,0,1,1,1,0
5,719588,203367,218526,133139,164556,5,6.9,1440,3200,511,120,0,800,1,76.0,8.8,220.0,8,2,1,2,7,12,4,2,128,5,1,45,1,1,108,1,1,2,2,2.2,2.65,0.7,40.0,1,1,0,0,1,2,1635,5.0,4,2,1,1,1,0,22,1,1,1,1,1,0,1,0,1,0,1
2,208387,83938,25798,46030,52621,2,5.99,1080,2160,403,60,0,450,0,75.4,8.0,180.0,0,2,3,0,14,3,3,2,32,1,1,18,0,0,12,0,0,0,2,2.0,2.9,1.4,5.0,0,0,1,1,0,1,2394,0.0,2,1,1,0,0,0,12,1,1,0,0,0,0,0,1,0,0,0
4,293283,101579,38555,87651,65498,2,6.74,720,1600,260,90,0,450,0,77.19,8.62,198.0,0,1,2,0,6,4,3,2,128,1,1,22,0,0,48,0,0,0,1,2.0,3.00395390070922,0.8,8.0,0,0,1,0,0,1,874,0.0,2,1,1,1,0,0,12,1,1,0,0,0,0,0,1,0,0,0
5,1070306,291874,362777,191619,224036,5,6.7,1080,2640,425,120,1,500,1,71.9,6.9,187.0,0,2,2,6,4,8,4,4,128,6,0,25,1,1,12,0,0,2,2,2.4,3.2,1.22,10.0,1,1,0,0,1,2,752,3.0,4,2,1,1,0,0,20,1,1,0,0,0,0,0,1,1,0,1
5,323135,111824,66059,60319,84933,3,6.7,1080,2400,393,60,0,650,0,76.3,9.5,213.0,0,1,2,0,8,6,3,2,128,3,1,25,0,1,64,0,0,1,1,2.2,2.8,0.8,32.0,0,0,1,1,1,1,1451,1.0,4,2,1,1,0,0,15,1,1,0,0,0,0,0,1,1,0,0
4,591363,189613,158736,121205,121809,2,6.26,1080,2340,412,60,0,500,0,73.9,8.4,182.0,0,2,2,0,7,8,3,2,256,3,0,22,0,0,48,1,0,1,2,2.0,3.1,0.8,32.0,0,0,0,0,0,2,1909,2.0,2,1,1,1,1,0,21,1,1,0,0,0,0,0,1,0,0,0
3,157203,56155,11408,43893,45747,6,6.5,720,1600,269,60,0,550,0,75.6,8.8,188.0,2,1,3,0,12,3,3,2,32,1,1,10,0,0,13,0,0,0,1,2.4,3.00395390070922,1.12,5.0,0,0,1,1,0,1,1056,0.0,2,1,1,1,0,0,4,0,0,0,0,0,0,0,1,0,0,0
5,765381,207699,247886,144292,165504,5,6.9,1440,3088,496,120,1,600,1,77.2,8.1,208.0,8,2,1,2,7,8,4,3,256,6,1,25,1,1,108,1,1,2,4,2.2,3.2,1.22,10.0,1,1,0,1,1,2,1482,5.0,4,2,1,1,1,0,20,1,1,1,1,1,0,1,0,1,0,1
4,866863,256787,272332,177778,159966,1,6.7,1200,2664,436,120,0,2600,1,74.1,7.8,183.0,0,0,1,4,4,12,5,4,256,6,0,100,0,1,50,0,0,1,2,2.1,2.51,0.64,50.0,0,1,0,0,1,1,295,1.0,4,1,1,1,0,0,20,1,1,0,0,0,0,1,0,1,1,1
13,584585,189588,158432,111846,124719,1,6.1,1080,2340,422,60,0,500,1,71.4,7.6,165.0,3,2,1,0,7,6,3,2,128,3,2,22,0,0,40,1,0,1,2,2.0,2.8,0.8,32.0,0,0,1,0,1,2,1940,3.0,2,1,1,1,1,0,21,1,1,1,1,1,0,1,0,1,1,1
6,835028,252341,204010,190195,188482,1,6.7,1080,2412,394,120,0,500,1,75.5,8.2,186.0,0,1,1,4,5,8,4,4,128,6,0,150,0,0,50,0,0,1,2,2.4,3.09,1.0,16.0,0,1,0,0,1,2,874,1.0,2,1,1,1,0,0,20,1,1,0,0,0,0,0,1,1,0,1
0,242317,79099,23084,82550,57584,2,6.56,720,1612,269,90,0,500,0,75.75,8.4,191.0,0,1,2,1,12,4,3,2,64,3,1,18,0,0,13,0,0,0,1,2.0,3.00395390070922,0.9680385288966724,8.0,0,0,1,1,0,0,540,0.0,2,1,1,0,0,0,20,0,1,0,0,0,0,0,1,0,0,0
12,1534769,385633,540758,326032,282346,0,6.78,1260,2800,453,144,0,600,1,77.0,8.5,192.0,0,1,1,8,4,16,5,4,256,7,0,120,0,0,50,0,2,2,2,2.5,3.1,1.0,16.0,0,1,0,0,1,2,479,1.0,2,2,1,1,0,0,20,1,1,0,0,0,0,1,0,1,1,1
6,786855,237679,227952,142387,178837,0,6.43,1080,2400,410,90,0,450,1,73.2,8.2,190.0,0,1,1,0,6,8,3,2,128,6,0,80,0,0,50,0,0,1,2,2.4,2.8,0.8,32.0,0,1,0,0,1,1,844,1.0,2,1,1,1,0,0,18,1,1,0,0,0,0,0,1,1,0,1
3,1514779,371083,601090,301223,241383,1,6.67,1080,2400,394,165,1,500,1,74.0,8.59,199.0,8,2,1,8,4,12,5,4,256,7,0,125,1,1,50,0,2,2,2,2.2,2.8,0.61,60.0,1,1,0,0,1,2,509,3.0,4,2,1,1,1,0,20,1,1,0,0,0,0,1,0,1,1,1
3,1233103,327764,436033,218145,251161,4,6.6,1080,2400,399,144,0,500,1,74.38,8.26,189.0,8,2,1,6,4,8,4,4,128,6,0,68,1,0,50,0,2,2,2,2.5,3.0,0.7,32.0,0,1,0,0,1,2,599,2.0,4,1,1,1,0,0,20,1,1,0,0,0,0,0,1,1,0,1
12,727120,234569,183023,132054,177474,0,6.78,1080,2400,388,120,0,1000,1,74.8,7.4,180.0,0,1,1,4,4,8,4,4,128,6,0,66,0,0,50,0,0,1,2,2.5,2.76,0.64,50.0,0,1,0,0,1,1,540,1.0,4,2,1,1,1,1,20,1,1,0,0,0,0,0,1,1,1,1
1,931591,258023,313582,144037,215949,1,6.7,1440,3120,512,120,1,500,1,75.9,8.9,210.0,8,2,1,4,5,12,4,4,128,6,0,30,1,1,50,1,0,2,2,2.0,2.9,1.22,11.1,1,1,0,0,1,2,1056,3.0,4,1,1,1,1,0,20,1,1,1,0,0,0,0,1,1,0,1
5,454690,142354,106454,92729,113153,3,6.2,1440,2960,531,60,0,631,1,73.8,8.5,189.0,8,2,3,0,10,6,3,2,64,3,1,15,1,0,12,1,0,2,4,1.7,3.6,1.22,8.0,0,0,1,0,1,2,2366,3.0,3,1,1,1,0,0,18,1,1,1,0,0,0,0,1,1,0,0
8,2117487,486401,897885,405132,328069,0,6.8,1116,2480,400,120,0,1600,0,76.4,8.9,229.0,0,2,1,12,4,12,5,4,256,7,0,80,0,0,50,0,2,2,2,2.0,2.8,1.12,16.0,0,1,1,0,0,2,295,2.0,2,2,1,1,0,0,20,1,1,0,0,0,1,0,0,1,1,1
11,432724,130789,72331,116375,113229,0,6.78,1080,2436,393,120,0,500,0,75.3,7.7,197.5,0,1,1,0,6,8,3,2,256,4,1,70,0,0,50,0,0,0,2,1.9,1.57,0.9680385288966724,50.0,0,0,1,1,1,1,174,0.0,2,1,1,1,0,0,20,1,1,0,0,0,0,0,1,1,0,1
14,540904,168137,114289,106004,152474,3,6.4,1080,2400,411,90,0,450,1,73.3,7.99,182.0,0,1,1,2,6,6,3,2,128,4,0,60,0,1,50,0,0,1,2,2.4,3.13,1.0,16.0,0,1,1,0,1,1,933,1.0,2,1,1,1,1,0,20,1,1,0,0,0,0,0,1,1,1,1
12,2083491,484471,876384,394276,328360,0,6.78,1260,2800,453,144,1,3000,1,75.68,8.34,190.0,4,1,1,18,4,8,5,4,128,7,0,120,0,1,50,0,2,2,2,2.5,3.1,1.0,16.0,0,1,0,0,1,2,265,1.0,2,1,1,1,0,0,20,1,1,0,0,0,0,1,0,1,1,1
